id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
201706211118,AC2017,2017,6,21,1118,30.41,-86.59,30.44,-86.62,1,0,1
201706211320,AC2017,2017,6,21,1320,30.39,-88.97,30.47,-88.98,1,0,1
201706212002,AC2017,2017,6,21,2002,30.47,-87.68,30.47,-87.68,1,0,1
201706212008,AC2017,2017,6,21,2008,31.06,-86.81,31.07,-86.81,1,0,1
201706212357,AC2017,2017,6,21,2357,31.23,-86.31,31.29,-86.34,1,1,1
201706220135,AC2017,2017,6,22,135,31.65,-87.66,31.65,-87.66,1,0,2
201706221721,AC2017,2017,6,22,1721,33.43,-86.94,33.53,-86.87,1,1,2
201706221942,AC2017,2017,6,22,1942,33.18,-86.97,33.19,-86.97,1,0,2
201706222330,AC2017,2017,6,22,2330,34.83,-89.58,34.87,-89.57,1,0,1
201706231921,AC2017,2017,6,23,1921,40.1,-80.17,40.1,-80.11,1,1,2
201706232137,AC2017,2017,6,23,2137,37.53,-85.74,37.57,-85.67,1,1,1
201706232155,AC2017,2017,6,23,2155,39.66,-79.85,39.66,-79.85,1,0,2
201706232205,AC2017,2017,6,23,2205,37.62,-85.44,37.62,-85.4,1,1,1
201706232347,AC2017,2017,6,23,2347,39.49,-79.93,39.5,-79.93,1,1,1
201706232358,AC2017,2017,6,23,2358,39.26,-80.48,39.28,-80.4,1,1,1
201706241121,AC2017,2017,6,24,1121,40.19,-74.25,40.18,-74.25,1,0,2
201706241127,AC2017,2017,6,24,1127,40.17,-74.18,40.17,-74.18,1,0,2
NTB,AC2016,2016,6,6,1731,29.81,-82.21,29.81,-82.21,0,-1,0
NTD,AC2016,2016,6,6,1936,30.69,-81.96,30.69,-81.96,0,-1,0
NTE,AC2016,2016,6,6,2057,29.44,-81.26,29.44,-81.26,0,-1,0
NTF,AC2016,2016,6,6,638,26.68,-81.71,26.68,-81.71,0,-1,0
NTG,AC2016,2016,6,6,2005,26.44,-81.86,26.44,-81.86,0,-1,0
NTH,AC2016,2016,6,6,2028,26.96,-81.97,26.96,-81.97,0,-1,0
NTI,AC2016,2016,6,6,1855,26.11,-81.79,26.11,-81.79,0,-1,0
201606061925,AC2016,2016,6,6,1925,30.2727,-81.8317,30.3279,-81.8191,1,1,1
NTA,AC2020,2020,6,7,1323,30.39,-89,30.39,-89,0,-1,0
NTB,AC2020,2020,6,7,1415,30.57,-88.47,30.57,-88.47,0,-1,0
NTC,AC2020,2020,6,7,1422,30.44,-88.74,30.44,-88.74,0,-1,0
NTD,AC2020,2020,6,7,1252,30.36,-87.48,30.36,-87.48,0,-1,0
NTG,AC2020,2020,6,6,1959,29.11,-82.04,29.11,-82.04,0,-1,0
NTU,AC2020,2020,6,7,1940,28.94,-81.8,28.94,-81.8,0,-1,0
NTL,AC2020,2020,6,6,1529,27.58,-82.33,27.58,-82.33,0,-1,0
NTN,AC2020,2020,6,6,1926,28.69,-82.17,28.69,-82.17,0,-1,0
NTO,AC2020,2020,6,6,2129,28.23,-81.7,28.23,-81.7,0,-1,0
NTM,AC2020,2020,6,7,427,27.04,-82.41,27.04,-82.41,0,-1,0
NTJ,AC2020,2020,6,6,1551,25.93,-81.02,25.93,-81.02,0,-1,0
NTK,AC2020,2020,6,6,1918,26.6,-81.18,26.6,-81.18,0,-1,0
