id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTII,AA2013,2013,6,6,2043,30.41,-81.4,30.41,-81.4,0,-1,0
NTD,AA2013,2013,6,6,750,25.87,-80.79,25.87,-80.79,0,-1,0
NTE,AA2013,2013,6,6,943,25.68,-80.75,25.68,-80.75,0,-1,0
NTF,AA2013,2013,6,6,1022,26.44,-80.18,26.44,-80.18,0,-1,0
NTA,AA2013,2013,6,6,236,24.57,-81.12,24.57,-81.12,0,-1,0
NTB,AA2013,2013,6,6,304,24.59,-81.02,24.59,-81.02,0,-1,0
NTS,AA2013,2013,6,6,711,27.5,-82.28,27.5,-82.28,0,-1,0
NTT,AA2013,2013,6,6,759,26.96,-82.02,26.96,-82.02,0,-1,0
NTI,AA2013,2013,6,6,926,27.38,-81.1,27.38,-81.1,0,-1,0
NTJ,AA2013,2013,6,6,932,27.75,-81.32,27.75,-81.32,0,-1,0
NTU,AA2013,2013,6,6,1152,28.18,-82.78,28.18,-82.78,0,-1,0
NTW,AA2013,2013,6,6,1509,26.71,-82.37,26.71,-82.37,0,-1,0
NTX,AA2013,2013,6,6,1534,27.4,-82.42,27.4,-82.42,0,-1,0
NTZ,AA2013,2013,6,6,1556,27.94,-82.49,27.94,-82.49,0,-1,0
NTAA,AA2013,2013,6,6,1557,28.21,-82.57,28.21,-82.57,0,-1,0
NTBB,AA2013,2013,6,6,1617,27.31,-81.94,27.31,-81.94,0,-1,0
NTCC,AA2013,2013,6,6,1617,27.0,-81.77,27.0,-81.77,0,-1,0
NTDD,AA2013,2013,6,6,1633,26.87,-81.67,26.87,-81.67,0,-1,0
NTEE,AA2013,2013,6,6,1640,27.16,-82.18,27.16,-82.18,0,-1,0
NTFF,AA2013,2013,6,6,1642,27.39,-82.39,27.39,-82.39,0,-1,0
NTGG,AA2013,2013,6,6,1738,26.67,-81.86,26.67,-81.86,0,-1,0
NTK,AA2013,2013,6,6,1040,28.07,-81.19,28.07,-81.19,0,-1,0
NTL,AA2013,2013,6,6,1417,27.48,-81.07,27.48,-81.07,0,-1,0
NTM,AA2013,2013,6,6,1627,28.44,-81.11,28.44,-81.11,0,-1,0
NTN,AA2013,2013,6,6,1644,27.34,-80.98,27.34,-80.98,0,-1,0
NTO,AA2013,2013,6,6,1715,27.73,-80.97,27.73,-80.97,0,-1,0
NTP,AA2013,2013,6,6,1727,27.02,-80.64,27.02,-80.64,0,-1,0
NTQ,AA2013,2013,6,6,1832,27.51,-80.33,27.51,-80.33,0,-1,0
NTKK,AA2013,2013,6,7,122,32.25,-80.61,32.25,-80.61,0,-1,0
NTRR,AA2013,2013,6,7,849,34.5,-77.65,34.5,-77.65,0,-1,0
NTPP,AA2013,2013,6,7,701,34.64,-77.42,34.64,-77.42,0,-1,0
NTQQ,AA2013,2013,6,7,709,34.53,-77.15,34.53,-77.15,0,-1,0
NTMM,AA2013,2013,6,7,808,34.28,-77.37,34.28,-77.37,0,-1,0
NTNN,AA2013,2013,6,7,951,34.6,-76.48,34.6,-76.48,0,-1,0
NTOO,AA2013,2013,6,7,1206,35.46,-76.09,35.46,-76.09,0,-1,0
201306060651,AA2013,2013,6,6,651,27.334,-82.158,27.353,-82.17,1,0,1
201306060718,AA2013,2013,6,6,718,26.6734,-80.6706,26.6823,-80.6719,1,0,1
201306061045,AA2013,2013,6,6,1045,26.78,-80.247,26.806,-80.25,1,1,1
201306061157,AA2013,2013,6,6,1157,26.224,-80.4854,26.51,-80.387,1,0,2
201306061403,AA2013,2013,6,6,1403,27.736,-82.71,27.763,-82.708,1,0,1
201306061513,AA2013,2013,6,6,1513,27.027,-82.414,27.049,-82.404,1,0,1
201306061805,AA2013,2013,6,6,1805,26.752,-81.764,26.753,-81.76,1,0,1
201306062048,AA2013,2013,6,6,2048,30.39,-81.4,30.66,-81.45,1,1,1
201306070522,AA2013,2013,6,7,522,33.9406,-78.2504,33.9418,-78.2509,1,0,1
