id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTE,AA2014,2014,7,4,0007,35.77,-77.61,35.77,-77.61,0,-1,0
NTG,AA2014,2014,7,3,2326,35.62,-76.81,35.62,-76.81,0,-1,0
NTH,AA2014,2014,7,4,0057,35.58,-76.38,35.58,-76.38,0,-1,0
NTA,AA2014,2014,7,3,1621,33.93,-77.92,33.93,-77.92,0,-1,0
NTB,AA2014,2014,7,3,1707,34.19,-77.82,34.19,-77.82,0,-1,0
NTC,AA2014,2014,7,3,2022,34.5,-78.17,34.5,-78.17,0,-1,0
NTI,AA2014,2014,7,4,0222,36.16,-76.33,36.16,-76.33,0,-1,0
NTJ,AA2014,2014,7,4,0247,36.25,-76.4,36.25,-76.4,0,-1,0
201407032036,AA2014,2014,7,3,2036,34.805,-78.009,34.808,-78.022,1,1,1
201407040050,AA2014,2014,7,4,050,35.9565,-77.2038,35.9604,-77.2234,1,1,1
201407040359,AA2014,2014,7,4,359,36.344,-76.964,36.343,-76.996,1,0,2
201407040502,AA2014,2014,7,4,502,36.8784,-76.0747,36.88,-76.08,1,0,1
201407040540,AA2014,2014,7,4,540,36.92,-76.27,36.9235,-76.2689,1,0,1
