id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTA,AB2019,2019,7,13,1838,30.78,-87.52,30.78,-87.52,0,-1,0
NTB,AB2019,2019,7,14,1612,31.39,-88.96,31.39,-88.96,0,-1,0
NTC,AB2019,2019,7,10,1254,30.03,-90.08,30.03,-90.08,0,-1,0
NTD,AB2019,2019,7,10,614,29.51,-89.74,29.51,-89.74,0,-1,0
NTE,AB2019,2019,7,13,614,29.51,-89.74,29.51,-89.74,0,-1,0
NTF,AB2019,2019,7,13,1134,30.51,-88.45,30.51,-88.45,0,-1,0
NTH,AB2019,2019,7,14,35,29.78,-89.98,29.78,-89.98,0,-1,0
NTG,AB2019,2019,7,14,39,29.56,-90.04,29.56,-90.04,0,-1,0
NTI,AB2019,2019,7,14,121,30.88,-89.8,30.88,-89.8,0,-1,0
NTJ,AB2019,2019,7,14,220,30.86,-89.62,30.86,-89.62,0,-1,0
NTK,AB2019,2019,7,14,1257,30.45,-90.94,30.45,-90.94,0,-1,0
NTM,AB2019,2019,7,14,1355,30.86,-91.04,30.86,-91.04,0,-1,0
NTO,AB2019,2019,7,14,1415,31.08,-90.38,31.08,-90.38,0,-1,0
NTL,AB2019,2019,7,14,1340,30.75,-90.6,30.75,-90.6,0,-1,0
NTN,AB2019,2019,7,14,1408,30.44,-90.91,30.44,-90.91,0,-1,0
NTP,AB2019,2019,7,14,1432,30.42,-90.61,30.42,-90.61,0,-1,0
NTQ,AB2019,2019,7,14,1507,30.16,-91.05,30.16,-91.05,0,-1,0
NTS,AB2019,2019,7,14,1526,30.34,-91.0,30.34,-91.0,0,-1,0
NTU,AB2019,2019,7,14,1604,30.53,-90.98,30.53,-90.98,0,-1,0
NTV,AB2019,2019,7,14,1732,30.86,-90.69,30.86,-90.69,0,-1,0
NTR,AB2019,2019,7,14,1517,30.56,-91.15,30.56,-91.15,0,-1,0
NTW,AB2019,2019,7,15,1037,30.94,-91.89,30.94,-91.89,0,-1,0
NTX,AB2019,2019,7,14,234,31.37,-89.78,31.37,-89.78,0,-1,0
NTY,AB2019,2019,7,14,338,31.54,-89.51,31.54,-89.51,0,-1,0
NTZ,AB2019,2019,7,14,421,31.92,-89.39,31.92,-89.39,0,-1,0
NTAA,AB2019,2019,7,14,556,31.82,-89.38,31.82,-89.38,0,-1,0
NTBB,AB2019,2019,7,14,1007,31.38,-89.25,31.38,-89.25,0,-1,0
NTDD,AB2019,2019,7,14,1642,31.91,-88.78,31.91,-88.78,0,-1,0
NTEE,AB2019,2019,7,14,2012,35.67,-88.65,35.67,-88.65,0,-1,0
NTFF,AB2019,2019,7,16,1802,35.08,-89.28,35.08,-89.28,0,-1,0
NTGG,AB2019,2019,7,16,1804,34.54,-88.3,34.54,-88.3,0,-1,0
NTHH,AB2019,2019,7,15,2041,37.43,-87.44,37.43,-87.44,0,-1,0
NTII,AB2019,2019,7,16,1813,37.8,-87.19,37.8,-87.19,0,-1,0
NTJJ,AB2019,2019,7,16,1901,37.94,-86.93,37.94,-86.93,0,-1,0
201907141125,AB2019,2019,7,14,1125,31.4122,-89.1959,31.4157,-89.203,1,0,1
