id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTA,AB2015,2015,6,17,1837,27.96,-97.11,27.96,-97.11,0,-1,0
NTB,AB2015,2015,6,17,2037,28.22,-97.05,28.22,-97.05,0,-1,0
NTD,AB2015,2015,6,17,2238,27.8,-98.01,27.8,-98.01,0,-1,0
NTI,AB2015,2015,6,16,1749,29.57,-94.71,29.57,-94.71,0,-1,0
NTE,AB2015,2015,6,16,2352,29.17,-96.65,29.17,-96.65,0,-1,0
NTF,AB2015,2015,6,17,2048,32.0,-96.62,32.0,-96.62,0,-1,0
NTM,AB2015,2015,6,17,2251,35.67,-95.64,35.67,-95.64,0,-1,0
NTK,AB2015,2015,6,18,928,31.88,-93.77,31.88,-93.77,0,-1,0
NTH,AB2015,2015,6,17,2246,30.49,-93.75,30.49,-93.75,0,-1,0
NTG,AB2015,2015,6,17,2355,30.34,-94.03,30.34,-94.03,0,-1,0
NTJ,AB2015,2015,6,18,248,30.39,-93.91,30.39,-93.91,0,-1,0
NTN,AB2015,2015,6,18,2149,34.18,-93.02,34.18,-93.02,0,-1,0
NTQ,AB2015,2015,6,19,2235,38.04,-88.81,38.04,-88.81,0,-1,0
NTR,AB2015,2015,6,19,2256,37.93,-87.1,37.93,-87.1,0,-1,0
NTV,AB2015,2015,6,19,2104,38.79,-87.22,38.79,-87.22,0,-1,0
NTW,AB2015,2015,6,19,2223,38.74,-86.79,38.74,-86.79,0,-1,0
NTX,AB2015,2015,6,20,2111,39.13,-78.92,39.13,-78.92,0,-1,0
NTAA,AB2015,2015,6,20,2305,38.81,-77.85,38.81,-77.85,0,-1,0
NTZ,AB2015,2015,6,20,2349,38.33,-77.6,38.33,-77.6,0,-1,0
NTFF,AB2015,2015,6,21,21,38.66,-77.15,38.66,-77.15,0,-1,0
NTDD,AB2015,2015,6,21,59,39.29,-76.7,39.29,-76.7,0,-1,0
NTEE,AB2015,2015,6,21,143,38.89,-76.63,38.89,-76.63,0,-1,0
201506171925,AB2015,2015,6,17,1925,33.9374,-94.6663,33.9391,-94.667,1,0,1
201506172220,AB2015,2015,6,17,2220,27.6689,-98.0918,27.668,-98.0892,1,0,1
201506181009,AB2015,2015,6,18,1009,32.0374,-93.7005,32.0455,-93.7007,1,1,1
201506181138,AB2015,2015,6,18,1138,32.1935,-93.8427,32.2313,-93.8031,1,1,2
201506191730,AB2015,2015,6,19,1730,38.5691,-88.8535,38.5912,-88.841,1,1,1
201506191830,AB2015,2015,6,19,1830,36.6765,-88.519,36.6947,-88.4961,1,0,1
201506191926,AB2015,2015,6,19,1926,38.7131,-87.5516,38.7141,-87.5526,1,0,1
201506192013,AB2015,2015,6,19,2013,37.9801,-88.3744,38.0503,-88.3591,1,0,1
201506192040,AB2015,2015,6,19,2040,37.996,-86.785,37.996,-86.779,1,0,1
201506192145,AB2015,2015,6,19,2145,38.7491,-88.0969,38.7507,-88.0983,1,0,1
201506192150,AB2015,2015,6,19,2150,38.7628,-88.0979,38.7699,-88.1013,1,0,1
201506192151,AB2015,2015,6,19,2151,37.8798,-88.9586,37.8885,-88.9714,1,1,1
201506192153,AB2015,2015,6,19,2153,37.7664,-89.3171,37.769,-89.3186,1,1,1
201506192230,AB2015,2015,6,19,2230,38.0737,-88.6727,38.0791,-88.6785,1,0,1
201506192301,AB2015,2015,6,19,2301,38.0842,-89.1512,38.0842,-89.1512,1,0,1
201506201812,AB2015,2015,6,20,1812,39.4075,-81.8288,39.4093,-81.8284,1,0,2
201506202327,AB2015,2015,6,20,2327,38.7318,-77.5454,38.746,-77.5113,1,0,2
201506202339,AB2015,2015,6,20,2339,39.2604,-77.465,39.2814,-77.4609,1,0,1
201506210012,AB2015,2015,6,21,012,38.0429,-77.3226,38.0575,-77.3076,1,0,1
