id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTAA,AC2017,2017,6,22,1154,32.07,-88.5,32.07,-88.5,0,-1,0
NTCC,AC2017,2017,6,22,1639,31.59,-90.24,31.59,-90.24,0,-1,0
NTDD,AC2017,2017,6,22,1815,32.64,-90.67,32.64,-90.67,0,-1,0
NTP,AC2017,2017,6,21,958,30.31,-89.27,30.31,-89.27,0,-1,0
NTQ,AC2017,2017,6,21,1230,30.24,-89.58,30.24,-89.58,0,-1,0
NTR,AC2017,2017,6,21,1239,30.33,-89.37,30.33,-89.37,0,-1,0
NTT,AC2017,2017,6,21,1310,30.45,-89.01,30.45,-89.01,0,-1,0
NTU,AC2017,2017,6,21,1312,30.25,-89.41,30.25,-89.41,0,-1,0
NTV,AC2017,2017,6,21,1344,30.19,-89.2,30.19,-89.2,0,-1,0
NTW,AC2017,2017,6,21,1632,29.97,-90.03,29.97,-90.03,0,-1,0
NTX,AC2017,2017,6,21,1753,30.21,-90.39,30.21,-90.39,0,-1,0
NTY,AC2017,2017,6,21,1935,30.38,-89.42,30.38,-89.42,0,-1,0
NTZ,AC2017,2017,6,21,2020,30.53,-88.96,30.53,-88.96,0,-1,0
NTGG,AC2017,2017,6,22,1638,30.63,-90.64,30.63,-90.64,0,-1,0
NTBB,AC2017,2017,6,22,1657,30.75,-90.61,30.75,-90.61,0,-1,0
NTHH,AC2017,2017,6,22,2253,34.66,-91.79,34.66,-91.79,0,-1,0
NTII,AC2017,2017,6,22,2331,34.14,-92.25,34.14,-92.25,0,-1,0
NTF,AC2017,2017,6,21,932,30.31,-86.43,30.31,-86.43,0,-1,0
NTK,AC2017,2017,6,21,1946,30.26,-87.3,30.26,-87.3,0,-1,0
NTO,AC2017,2017,6,21,2103,31.03,-88.54,31.03,-88.54,0,-1,0
NTI,AC2017,2017,6,22,150,31.04,-86.58,31.04,-86.58,0,-1,0
NTH,AC2017,2017,6,22,220,30.69,-86.44,30.69,-86.44,0,-1,0
NTN,AC2017,2017,6,22,614,31.12,-86.17,31.12,-86.17,0,-1,0
NTE,AC2017,2017,6,21,20,30.02,-85.12,30.02,-85.12,0,-1,0
NTD,AC2017,2017,6,21,29,30.38,-85.31,30.38,-85.31,0,-1,0
NTB,AC2017,2017,6,21,450,29.58,-85.03,29.58,-85.03,0,-1,0
NTC,AC2017,2017,6,21,1703,30.72,-85.34,30.72,-85.34,0,-1,0
NTLL,AC2017,2017,6,22,1754,33.07,-87.25,33.07,-87.25,0,-1,0
NTMM,AC2017,2017,6,22,1820,33.48,-87.13,33.48,-87.13,0,-1,0
NTOO,AC2017,2017,6,22,1956,33.02,-85.9,33.02,-85.9,0,-1,0
NTPP,AC2017,2017,6,22,2038,32.85,-85.8,32.85,-85.8,0,-1,0
NTRR,AC2017,2017,6,22,1940,34.2,-84.61,34.2,-84.61,0,-1,0
NTSS,AC2017,2017,6,22,1946,33.98,-84.71,33.98,-84.71,0,-1,0
NTQQ,AC2017,2017,6,22,2005,32.69,-84.85,32.69,-84.85,0,-1,0
NTTT,AC2017,2017,6,22,2335,34.34,-83.88,34.34,-83.88,0,-1,0
NTEE,AC2017,2017,6,23,1027,31.86,-93.3,31.86,-93.3,0,-1,0
NTFF,AC2017,2017,6,23,1147,31.86,-93.11,31.86,-93.11,0,-1,0
NTUU,AC2017,2017,6,23,1928,37.33,-85.39,37.33,-85.39,0,-1,0
NTWW,AC2017,2017,6,23,2220,38.98,-82.1,38.98,-82.1,0,-1,0
NTYY,AC2017,2017,6,23,2255,38.22,-82.88,38.22,-82.88,0,-1,0
NTZZ,AC2017,2017,6,24,5,38.72,-81.72,38.72,-81.72,0,-1,0
NTWWW,AC2017,2017,6,23,1847,40.13,-80.28,40.13,-80.28,0,-1,0
NTEEE,AC2017,2017,6,24,1026,39.79,-75.18,39.79,-75.18,0,-1,0
NTFFF,AC2017,2017,6,24,1039,40.26,-74.57,40.26,-74.57,0,-1,0
201706201415,AC2017,2017,6,20,1415,29.64,-84.91,29.64,-84.91,1,0,1
201706211118,AC2017,2017,6,21,1118,30.41,-86.59,30.44,-86.62,1,0,1
201706211320,AC2017,2017,6,21,1320,30.39,-88.97,30.47,-88.98,1,0,1
201706212002,AC2017,2017,6,21,2002,30.47,-87.68,30.47,-87.68,1,0,1
201706212008,AC2017,2017,6,21,2008,31.06,-86.81,31.07,-86.81,1,0,1
201706212357,AC2017,2017,6,21,2357,31.23,-86.31,31.29,-86.34,1,1,1
201706220135,AC2017,2017,6,22,135,31.65,-87.66,31.65,-87.66,1,0,2
201706221721,AC2017,2017,6,22,1721,33.43,-86.94,33.53,-86.87,1,1,2
201706221942,AC2017,2017,6,22,1942,33.18,-86.97,33.19,-86.97,1,0,2
201706222330,AC2017,2017,6,22,2330,34.83,-89.58,34.87,-89.57,1,0,1
201706231921,AC2017,2017,6,23,1921,40.1,-80.17,40.1,-80.11,1,1,2
201706232137,AC2017,2017,6,23,2137,37.53,-85.74,37.57,-85.67,1,1,1
201706232155,AC2017,2017,6,23,2155,39.66,-79.85,39.66,-79.85,1,0,2
201706232205,AC2017,2017,6,23,2205,37.62,-85.44,37.62,-85.4,1,1,1
201706232347,AC2017,2017,6,23,2347,39.49,-79.93,39.5,-79.93,1,1,1
201706232358,AC2017,2017,6,23,2358,39.26,-80.48,39.28,-80.4,1,1,1
201706241121,AC2017,2017,6,24,1121,40.19,-74.25,40.18,-74.25,1,0,2
201706241127,AC2017,2017,6,24,1127,40.17,-74.18,40.17,-74.18,1,0,2
