id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTA,AC2020,2020,6,7,1323,30.39,-89.0,30.39,-89.0,0,-1,0
NTB,AC2020,2020,6,7,1415,30.57,-88.47,30.57,-88.47,0,-1,0
NTC,AC2020,2020,6,7,1422,30.44,-88.74,30.44,-88.74,0,-1,0
NTD,AC2020,2020,6,7,1252,30.36,-87.48,30.36,-87.48,0,-1,0
NTG,AC2020,2020,6,6,1959,29.11,-82.04,29.11,-82.04,0,-1,0
NTU,AC2020,2020,6,7,1940,28.94,-81.8,28.94,-81.8,0,-1,0
NTL,AC2020,2020,6,6,1529,27.58,-82.33,27.58,-82.33,0,-1,0
NTN,AC2020,2020,6,6,1926,28.69,-82.17,28.69,-82.17,0,-1,0
NTO,AC2020,2020,6,6,2129,28.23,-81.7,28.23,-81.7,0,-1,0
NTM,AC2020,2020,6,7,427,27.04,-82.41,27.04,-82.41,0,-1,0
NTJ,AC2020,2020,6,6,1551,25.93,-81.02,25.93,-81.02,0,-1,0
NTK,AC2020,2020,6,6,1918,26.6,-81.18,26.6,-81.18,0,-1,0
NTR,AC2020,2020,6,6,2006,29.14,-81.4,29.14,-81.4,0,-1,0
NTW,AC2020,2020,6,7,42,28.43,-81.59,28.43,-81.59,0,-1,0
NTX,AC2020,2020,6,7,113,28.91,-81.62,28.91,-81.62,0,-1,0
NTV,AC2020,2020,6,8,33,29.15,-81.1,29.15,-81.1,0,-1,0
NTF,AC2020,2020,6,7,2315,31.93,-89.34,31.93,-89.34,0,-1,0
NTE,AC2020,2020,6,8,2359,34.32,-86.83,34.32,-86.83,0,-1,0
NTZ,AC2020,2020,6,9,2352,41.13,-87.85,41.13,-87.85,0,-1,0
NTAA,AC2020,2020,6,9,2355,41.34,-87.94,41.34,-87.94,0,-1,0
202006062153,AC2020,2020,6,6,2153,28.57,-82.01,28.5667,-82.0085,1,0,2
202006062159,AC2020,2020,6,6,2159,27.9783,-82.77,27.99,-82.7631,1,0,1
202006062207,AC2020,2020,6,6,2207,28.5001,-81.4361,28.5001,-81.4361,1,0,1
202006062220,AC2020,2020,6,6,2220,28.93,-82.08,28.9233,-82.0764,1,0,2
202006062240,AC2020,2020,6,6,2240,28.4634,-81.4074,28.4634,-81.4074,1,0,1
202006062320,AC2020,2020,6,6,2320,28.4701,-81.3559,28.5439,-81.3636,1,1,2
202006070027,AC2020,2020,6,7,027,28.8387,-81.2614,28.868,-81.2603,1,0,1
202006071930,AC2020,2020,6,7,1930,30.087,-82.6754,30.1043,-82.6624,1,0,1
202006071940,AC2020,2020,6,7,1940,28.8984,-81.8119,28.8984,-81.8119,1,0,1
202006072005,AC2020,2020,6,7,2005,29.9394,-82.3885,29.9394,-82.3885,1,0,1
202006072241,AC2020,2020,6,7,2241,28.7914,-81.704,28.7981,-81.701,1,0,2
202006092324,AC2020,2020,6,9,2324,40.6997,-88.1472,40.7435,-88.0872,1,-1,2
202006100032,AC2020,2020,6,10,032,40.0774,-84.354,40.0781,-84.3456,1,0,1
