id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTA,AD2019,2019,9,1,2048,25.95,-81.45,25.95,-81.45,0,-1,0
NTB,AD2019,2019,9,3,2206,27.94,-80.38,27.94,-80.38,0,-1,0
NTC,AD2019,2019,9,4,1456,29.99,-81.39,29.99,-81.39,0,-1,0
NTD,AD2019,2019,9,5,800,33.7,-78.79,33.7,-78.79,0,-1,0
NTE,AD2019,2019,9,5,809,33.73,-78.78,33.73,-78.78,0,-1,0
NTH,AD2019,2019,9,5,855,33.9,-78.8,33.9,-78.8,0,-1,0
NTG,AD2019,2019,9,5,906,33.89,-78.72,33.89,-78.72,0,-1,0
NTL,AD2019,2019,9,5,918,33.63,-78.84,33.63,-78.84,0,-1,0
NTF,AD2019,2019,9,5,837,33.84,-78.03,33.84,-78.03,0,-1,0
NTM,AD2019,2019,9,5,944,34.04,-77.81,34.04,-77.81,0,-1,0
NTP,AD2019,2019,9,5,1047,34.28,-77.65,34.28,-77.65,0,-1,0
NTU,AD2019,2019,9,5,1149,33.86,-78.6,33.86,-78.6,0,-1,0
NTV,AD2019,2019,9,5,1212,33.84,-78.75,33.84,-78.75,0,-1,0
NTW,AD2019,2019,9,5,1318,33.72,-78.88,33.72,-78.88,0,-1,0
NTX,AD2019,2019,9,5,1358,33.88,-78.73,33.88,-78.73,0,-1,0
NTY,AD2019,2019,9,5,1442,34.16,-77.97,34.16,-77.97,0,-1,0
NTBB,AD2019,2019,9,5,1710,34.37,-77.88,34.37,-77.88,0,-1,0
NTCC,AD2019,2019,9,5,1113,34.33,-77.38,34.33,-77.38,0,-1,0
NTDD,AD2019,2019,9,5,1139,34.44,-77.32,34.44,-77.32,0,-1,0
NTEE,AD2019,2019,9,5,1240,34.66,-77.13,34.66,-77.13,0,-1,0
NTGG,AD2019,2019,9,5,1311,34.51,-77.38,34.51,-77.38,0,-1,0
NTHH,AD2019,2019,9,5,1447,34.64,-77.6,34.64,-77.6,0,-1,0
NTLL,AD2019,2019,9,5,2017,34.99,-77.65,34.99,-77.65,0,-1,0
NTWW,AD2019,2019,9,5,2054,34.86,-76.78,34.86,-76.78,0,-1,0
NTNN,AD2019,2019,9,5,2217,35.23,-77.34,35.23,-77.34,0,-1,0
NTOO,AD2019,2019,9,5,2353,35.48,-76.58,35.48,-76.58,0,-1,0
NTQQ,AD2019,2019,9,5,1945,34.95,-78.63,34.95,-78.63,0,-1,0
NTTT,AD2019,2019,9,6,332,36.07,-76.4,36.07,-76.4,0,-1,0
201909050837,AD2019,2019,9,5,837,33.8679,-78.6147,33.8918,-78.6925,1,1,1
201909050919,AD2019,2019,9,5,919,33.9687,-77.9403,34.0011,-78.0007,1,0,1
201909050923,AD2019,2019,9,5,923,34.0623,-78.265,34.0768,-78.3061,1,1,1
201909050945,AD2019,2019,9,5,945,33.669,-79.0569,33.6683,-79.0583,1,0,1
201909051017,AD2019,2019,9,5,1017,34.2214,-77.8995,34.2484,-77.9278,1,0,1
201909051037,AD2019,2019,9,5,1037,34.2519,-78.2469,34.2621,-78.2819,1,0,1
201909051037,AD2019,2019,9,5,1037,33.8371,-78.6725,33.8359,-78.6775,1,0,1
201909051039,AD2019,2019,9,5,1039,34.2749,-77.8726,34.2777,-77.8769,1,0,1
201909051058,AD2019,2019,9,5,1058,33.8736,-78.4796,33.9503,-78.613,1,2,1
201909051121,AD2019,2019,9,5,1121,34.4195,-78.2565,34.4641,-78.3227,1,0,1
201909051145,AD2019,2019,9,5,1145,34.4843,-77.8268,34.5431,-77.9298,1,0,1
201909051302,AD2019,2019,9,5,1302,34.6564,-77.0524,34.7957,-77.2154,1,2,1
201909051548,AD2019,2019,9,5,1548,34.278,-77.734,34.304,-77.773,1,1,1
201909051619,AD2019,2019,9,5,1619,34.4051,-77.9361,34.4416,-78.0205,1,1,1
201909051637,AD2019,2019,9,5,1637,35.1705,-77.745,35.1705,-77.745,1,-1,1
201909051710,AD2019,2019,9,5,1710,34.6028,-77.7754,34.6222,-77.8491,1,0,1
201909051753,AD2019,2019,9,5,1753,35.3348,-78.0654,35.3258,-78.0673,1,0,1
201909051838,AD2019,2019,9,5,1838,35.3502,-77.1198,35.3801,-77.2152,1,0,1
201909052007,AD2019,2019,9,5,2007,35.6821,-77.8204,35.6813,-77.8355,1,1,1
201909052032,AD2019,2019,9,5,2032,35.5033,-78.3401,35.5042,-78.3382,1,0,1
201909052100,AD2019,2019,9,5,2100,35.1061,-77.038,35.1069,-77.0391,1,0,1
201909060439,AD2019,2019,9,6,439,36.27,-76.4402,36.2701,-76.4419,1,0,1
201909060444,AD2019,2019,9,6,444,36.25,-76.5,36.2501,-76.5017,1,0,1
