id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTMM,AF2018,2018,9,15,1512,34.57,-77.94,34.57,-77.94,0,-1,0
NTNN,AF2018,2018,9,15,2201,34.38,-77.86,34.38,-77.86,0,-1,0
NTN,AF2018,2018,9,16,6,34.29,-77.89,34.29,-77.89,0,-1,0
NTK,AF2018,2018,9,16,28,34.27,-77.76,34.27,-77.76,0,-1,0
NTL,AF2018,2018,9,16,48,34.25,-77.76,34.25,-77.76,0,-1,0
NTQ,AF2018,2018,9,16,227,34.47,-78.03,34.47,-78.03,0,-1,0
NTQQ,AF2018,2018,9,16,231,34.5,-77.88,34.5,-77.88,0,-1,0
NTP,AF2018,2018,9,16,422,34.18,-77.86,34.18,-77.86,0,-1,0
NTA,AF2018,2018,9,16,1550,33.56,-79.04,33.56,-79.04,0,-1,0
NTY,AF2018,2018,9,17,203,34.68,-77.84,34.68,-77.84,0,-1,0
NTT,AF2018,2018,9,17,228,33.78,-79.02,33.78,-79.02,0,-1,0
NTU,AF2018,2018,9,17,422,33.89,-78.92,33.89,-78.92,0,-1,0
NTW,AF2018,2018,9,17,638,34.24,-78.76,34.24,-78.76,0,-1,0
NTZ,AF2018,2018,9,13,1500,35.4,-79.23,35.4,-79.23,0,-1,0
NTRR,AF2018,2018,9,13,2214,35.31,-75.42,35.31,-75.42,0,-1,0
NTSS,AF2018,2018,9,14,49,35.21,-75.59,35.21,-75.59,0,-1,0
NTTT,AF2018,2018,9,14,1229,34.89,-76.47,34.89,-76.47,0,-1,0
NTUU,AF2018,2018,9,14,1424,34.9,-76.6,34.9,-76.6,0,-1,0
NTZZ,AF2018,2018,9,14,1757,34.91,-77.2,34.91,-77.2,0,-1,0
NTXX,AF2018,2018,9,14,1810,34.75,-76.51,34.75,-76.51,0,-1,0
NTFF,AF2018,2018,9,15,231,35.06,-77.5,35.06,-77.5,0,-1,0
NTJJ,AF2018,2018,9,15,314,34.69,-77.06,34.69,-77.06,0,-1,0
NTCC,AF2018,2018,9,15,358,34.61,-77.02,34.61,-77.02,0,-1,0
NTDD,AF2018,2018,9,15,542,34.63,-77.3,34.63,-77.3,0,-1,0
NTKK,AF2018,2018,9,15,835,35.16,-77.62,35.16,-77.62,0,-1,0
NTLL,AF2018,2018,9,15,1529,34.47,-77.32,34.47,-77.32,0,-1,0
NTPP,AF2018,2018,9,16,200,34.69,-77.9,34.69,-77.9,0,-1,0
NTQQQ,AF2018,2018,9,16,2027,37.42,-79.38,37.42,-79.38,0,-1,0
NTRRR,AF2018,2018,9,17,2023,36.81,-78.67,36.81,-78.67,0,-1,0
NTSSS,AF2018,2018,9,18,253,37.7,-78.5,37.7,-78.5,0,-1,0
NTBBB,AF2018,2018,9,14,32,35.65,-77.79,35.65,-77.79,0,-1,0
NTEEE,AF2018,2018,9,14,701,36.32,-77.93,36.32,-77.93,0,-1,0
NTFFF,AF2018,2018,9,14,713,36.17,-77.78,36.17,-77.78,0,-1,0
NTDDD,AF2018,2018,9,14,1639,35.9,-77.36,35.9,-77.36,0,-1,0
NTCCC,AF2018,2018,9,14,1705,35.95,-77.7,35.95,-77.7,0,-1,0
NTGGG,AF2018,2018,9,14,2124,36.34,-78.64,36.34,-78.64,0,-1,0
NTHH,AF2018,2018,9,15,219,35.19,-77.81,35.19,-77.81,0,-1,0
NTII,AF2018,2018,9,15,858,35.26,-77.86,35.26,-77.86,0,-1,0
NTD,AF2018,2018,9,16,1920,34.52,-79.36,34.52,-79.36,0,-1,0
NTE,AF2018,2018,9,16,1956,34.72,-79.4,34.72,-79.4,0,-1,0
NTHHH,AF2018,2018,9,16,2207,36.27,-78.29,36.27,-78.29,0,-1,0
NTF,AF2018,2018,9,16,2216,34.62,-79.38,34.62,-79.38,0,-1,0
NTIII,AF2018,2018,9,17,955,35.42,-77.97,35.42,-77.97,0,-1,0
NTLLL,AF2018,2018,9,17,1132,35.99,-78.98,35.99,-78.98,0,-1,0
NTMMM,AF2018,2018,9,17,1215,35.99,-78.89,35.99,-78.89,0,-1,0
NTPPP,AF2018,2018,9,14,1417,36.45,-75.81,36.45,-75.81,0,-1,0
NTOOO,AF2018,2018,9,14,1452,35.97,-76.85,35.97,-76.85,0,-1,0
NTTTT,AF2018,2018,9,14,2148,36.82,-77.62,36.82,-77.62,0,-1,0
NTVVV,AF2018,2018,9,17,1357,37.04,-78.29,37.04,-78.29,0,-1,0
NTWWW,AF2018,2018,9,17,1700,37.09,-78.08,37.09,-78.08,0,-1,0
NTYYY,AF2018,2018,9,17,1817,37.22,-78.32,37.22,-78.32,0,-1,0
NTCCCC,AF2018,2018,9,17,1948,37.67,-77.49,37.67,-77.49,0,-1,0
