id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTA,AH2017,2017,8,26,1640,30.08,-93.88,30.08,-93.88,0,-1,0
NTB,AH2017,2017,8,26,1731,30.16,-94.03,30.16,-94.03,0,-1,0
NTC,AH2017,2017,8,26,1940,30.35,-94.41,30.35,-94.41,0,-1,0
NTD,AH2017,2017,8,26,2038,31.1,-93.31,31.1,-93.31,0,-1,0
NTE,AH2017,2017,8,26,2117,30.2,-94.02,30.2,-94.02,0,-1,0
NTF,AH2017,2017,8,26,2130,30.63,-93.65,30.63,-93.65,0,-1,0
NTG,AH2017,2017,8,27,43,29.79,-93.56,29.79,-93.56,0,-1,0
NTH,AH2017,2017,8,27,1351,29.89,-94.08,29.89,-94.08,0,-1,0
NTI,AH2017,2017,8,27,1515,30.27,-94.07,30.27,-94.07,0,-1,0
NTJ,AH2017,2017,8,27,1850,31.09,-93.67,31.09,-93.67,0,-1,0
NTK,AH2017,2017,8,27,2129,29.73,-93.7,29.73,-93.7,0,-1,0
NTL,AH2017,2017,8,27,2302,29.63,-94.26,29.63,-94.26,0,-1,0
NTM,AH2017,2017,8,28,23,29.66,-94.15,29.66,-94.15,0,-1,0
NTN,AH2017,2017,8,28,254,29.7,-93.94,29.7,-93.94,0,-1,0
NTO,AH2017,2017,8,28,447,29.67,-93.67,29.67,-93.67,0,-1,0
NTP,AH2017,2017,8,28,842,29.71,-93.95,29.71,-93.95,0,-1,0
NTQ,AH2017,2017,8,28,1153,30.26,-92.49,30.26,-92.49,0,-1,0
NTR,AH2017,2017,8,28,1252,29.72,-92.56,29.72,-92.56,0,-1,0
NTS,AH2017,2017,8,28,1328,29.64,-92.59,29.64,-92.59,0,-1,0
NTT,AH2017,2017,8,28,1339,29.72,-91.56,29.72,-91.56,0,-1,0
NTU,AH2017,2017,8,28,1359,30.19,-93.08,30.19,-93.08,0,-1,0
NTV,AH2017,2017,8,28,1436,30.52,-93.86,30.52,-93.86,0,-1,0
NTW,AH2017,2017,8,28,1645,30.12,-91.83,30.12,-91.83,0,-1,0
NTX,AH2017,2017,8,28,1704,29.92,-91.56,29.92,-91.56,0,-1,0
NTY,AH2017,2017,8,28,1758,29.51,-91.3,29.51,-91.3,0,-1,0
NTZ,AH2017,2017,8,28,1802,29.81,-93.39,29.81,-93.39,0,-1,0
NTAA,AH2017,2017,8,28,1930,29.79,-94.04,29.79,-94.04,0,-1,0
NTAB,AH2017,2017,8,28,2119,29.97,-92.91,29.97,-92.91,0,-1,0
NTAC,AH2017,2017,8,28,2145,29.73,-93.01,29.73,-93.01,0,-1,0
NTAD,AH2017,2017,8,29,47,29.61,-92.72,29.61,-92.72,0,-1,0
NTAE,AH2017,2017,8,29,824,29.81,-94.1,29.81,-94.1,0,-1,0
NTAF,AH2017,2017,8,29,2253,30.34,-92.86,30.34,-92.86,0,-1,0
NTAG,AH2017,2017,8,26,1157,30.29,-97.09,30.29,-97.09,0,-1,0
NTAH,AH2017,2017,8,26,2030,31.18,-94.45,31.18,-94.45,0,-1,0
NTAI,AH2017,2017,8,26,2107,31.11,-94.38,31.11,-94.38,0,-1,0
NTAJ,AH2017,2017,8,28,1734,29.69,-90.31,29.69,-90.31,0,-1,0
NTAK,AH2017,2017,8,29,1027,29.16,-90.18,29.16,-90.18,0,-1,0
NTAL,AH2017,2017,8,29,1100,29.16,-90.11,29.16,-90.11,0,-1,0
NTAM,AH2017,2017,8,29,1900,29.98,-90.89,29.98,-90.89,0,-1,0
NTAN,AH2017,2017,8,29,2222,29.68,-90.05,29.68,-90.05,0,-1,0
NTAO,AH2017,2017,8,30,526,30.1,-90.57,30.1,-90.57,0,-1,0
NTAP,AH2017,2017,8,30,1647,30.39,-88.68,30.39,-88.68,0,-1,0
NTAQ,AH2017,2017,8,30,921,30.61,-87.62,30.61,-87.62,0,-1,0
NTAR,AH2017,2017,8,30,1634,30.74,-88.64,30.74,-88.64,0,-1,0
NTAS,AH2017,2017,8,30,1649,31.12,-89.14,31.12,-89.14,0,-1,0
NTAT,AH2017,2017,8,30,1758,31.16,-88.59,31.16,-88.59,0,-1,0
NTAU,AH2017,2017,8,30,2119,30.57,-87.48,30.57,-87.48,0,-1,0
NTAV,AH2017,2017,8,30,2215,31.76,-86.26,31.76,-86.26,0,-1,0
NTAW,AH2017,2017,8,30,2350,31.12,-88.58,31.12,-88.58,0,-1,0
NTAX,AH2017,2017,8,30,1532,31.16,-89.4,31.16,-89.4,0,-1,0
NTAY,AH2017,2017,8,30,1608,31.49,-89.45,31.49,-89.45,0,-1,0
NTAZ,AH2017,2017,8,30,1944,32.14,-90.6,32.14,-90.6,0,-1,0
NTBA,AH2017,2017,8,31,210,31.53,-90.23,31.53,-90.23,0,-1,0
NTBB,AH2017,2017,8,31,1505,32.76,-88.94,32.76,-88.94,0,-1,0
NTBC,AH2017,2017,8,31,1546,32.57,-88.46,32.57,-88.46,0,-1,0
NTBD,AH2017,2017,8,31,2049,33.42,-88.42,33.42,-88.42,0,-1,0
NTBE,AH2017,2017,8,31,2041,32.49,-87.65,32.49,-87.65,0,-1,0
NTBF,AH2017,2017,8,31,2122,33.41,-87.87,33.41,-87.87,0,-1,0
NTBG,AH2017,2017,9,1,11,32.8,-87.36,32.8,-87.36,0,-1,0
NTBH,AH2017,2017,9,1,1901,37.39,-83.2,37.39,-83.2,0,-1,0
NTBI,AH2017,2017,8,31,1453,34.57,-90.14,34.57,-90.14,0,-1,0
NTBJ,AH2017,2017,8,31,1550,33.95,-88.75,33.95,-88.75,0,-1,0
NTBK,AH2017,2017,8,31,1619,34.61,-88.84,34.61,-88.84,0,-1,0
NTBL,AH2017,2017,8,31,1624,34.3,-89.87,34.3,-89.87,0,-1,0
NTBM,AH2017,2017,8,31,1628,34.29,-88.87,34.29,-88.87,0,-1,0
NTBN,AH2017,2017,8,31,1636,34.44,-90.1,34.44,-90.1,0,-1,0
NTBO,AH2017,2017,8,31,1640,33.85,-89.01,33.85,-89.01,0,-1,0
NTBP,AH2017,2017,8,31,1658,34.39,-88.92,34.39,-88.92,0,-1,0
NTBQ,AH2017,2017,8,31,1703,34.88,-88.96,34.88,-88.96,0,-1,0
NTBR,AH2017,2017,8,31,1733,34.52,-90.16,34.52,-90.16,0,-1,0
NTBS,AH2017,2017,8,31,1749,34.96,-90.03,34.96,-90.03,0,-1,0
NTBT,AH2017,2017,8,31,1805,34.72,-90.46,34.72,-90.46,0,-1,0
NTBU,AH2017,2017,8,31,1849,35.02,-89.02,35.02,-89.02,0,-1,0
NTBV,AH2017,2017,8,31,1912,34.01,-88.89,34.01,-88.89,0,-1,0
NTBW,AH2017,2017,8,31,1926,34.79,-88.15,34.79,-88.15,0,-1,0
NTBX,AH2017,2017,8,31,2009,35.25,-88.27,35.25,-88.27,0,-1,0
NTBY,AH2017,2017,8,31,2023,35.4,-87.97,35.4,-87.97,0,-1,0
NTBZ,AH2017,2017,8,31,2029,35.27,-88.84,35.27,-88.84,0,-1,0
NTCA,AH2017,2017,8,31,2124,35.26,-87.49,35.26,-87.49,0,-1,0
NTCB,AH2017,2017,8,31,2142,35.41,-87.24,35.41,-87.24,0,-1,0
NTCC,AH2017,2017,8,31,2256,36.22,-86.78,36.22,-86.78,0,-1,0
NTCD,AH2017,2017,9,1,50,35.89,-87.06,35.89,-87.06,0,-1,0
NTCE,AH2017,2017,9,1,115,35.44,-86.93,35.44,-86.93,0,-1,0
NTCF,AH2017,2017,9,1,2243,35.5,-81.9,35.5,-81.9,0,-1,0
NTCG,AH2017,2017,9,1,2258,35.48,-80.76,35.48,-80.76,0,-1,0
NTCH,AH2017,2017,9,1,2311,35.4,-80.81,35.4,-80.81,0,-1,0
NTCI,AH2017,2017,9,1,1816,35.34,-80.24,35.34,-80.24,0,-1,0
NTCJ,AH2017,2017,9,1,2104,35.53,-78.71,35.53,-78.71,0,-1,0
NTCK,AH2017,2017,9,1,2113,35.0,-79.5,35.0,-79.5,0,-1,0
NTCL,AH2017,2017,9,1,2124,34.79,-79.5,34.79,-79.5,0,-1,0
NTCM,AH2017,2017,9,1,2158,35.29,-79.1,35.29,-79.1,0,-1,0
NTCN,AH2017,2017,9,1,2303,35.43,-77.74,35.43,-77.74,0,-1,0
NTCO,AH2017,2017,8,31,2347,33.83,-79.31,33.83,-79.31,0,-1,0
HNTA,AH2017,2017,8,25,1543,28.74,-95.74,28.74,-95.74,0,-1,0
HNTB,AH2017,2017,8,25,1622,28.81,-95.64,28.81,-95.64,0,-1,0
HNTC,AH2017,2017,8,25,1847,29.3,-94.79,29.3,-94.79,0,-1,0
HNTD,AH2017,2017,8,25,1908,28.86,-95.67,28.86,-95.67,0,-1,0
HNTF,AH2017,2017,8,25,1941,29.25,-94.9,29.25,-94.9,0,-1,0
HNTG,AH2017,2017,8,25,2003,28.93,-95.43,28.93,-95.43,0,-1,0
HNTL,AH2017,2017,8,25,2219,29.01,-95.76,29.01,-95.76,0,-1,0
HNTM,AH2017,2017,8,25,2230,29.1,-95.76,29.1,-95.76,0,-1,0
HNTN,AH2017,2017,8,25,2241,29.08,-95.73,29.08,-95.73,0,-1,0
HNTP,AH2017,2017,8,25,2335,29.1,-95.37,29.1,-95.37,0,-1,0
HNTQ,AH2017,2017,8,25,2338,29.19,-94.96,29.19,-94.96,0,-1,0
HNTR,AH2017,2017,8,25,2353,29.07,-95.13,29.07,-95.13,0,-1,0
HNTS,AH2017,2017,8,26,45,29.02,-94.95,29.02,-94.95,0,-1,0
HNTT,AH2017,2017,8,26,118,28.99,-95.17,28.99,-95.17,0,-1,0
HNTU,AH2017,2017,8,26,133,29.01,-95.1,29.01,-95.1,0,-1,0
HNTV,AH2017,2017,8,26,205,29.18,-95.33,29.18,-95.33,0,-1,0
HNTW,AH2017,2017,8,26,238,29.36,-95.64,29.36,-95.64,0,-1,0
HNTX,AH2017,2017,8,26,557,29.54,-94.35,29.54,-94.35,0,-1,0
HNTY,AH2017,2017,8,26,754,29.09,-95.72,29.09,-95.72,0,-1,0
HNTZ,AH2017,2017,8,26,844,29.5,-95.91,29.5,-95.91,0,-1,0
HNTAA,AH2017,2017,8,26,924,29.63,-94.68,29.63,-94.68,0,-1,0
HNTAB,AH2017,2017,8,26,1045,30.1,-94.84,30.1,-94.84,0,-1,0
HNTAC,AH2017,2017,8,26,1100,30.06,-94.6,30.06,-94.6,0,-1,0
HNTAD,AH2017,2017,8,26,1354,30.47,-95.41,30.47,-95.41,0,-1,0
HNTAE,AH2017,2017,8,26,1452,30.37,-95.1,30.37,-95.1,0,-1,0
HNTAF,AH2017,2017,8,26,1752,29.64,-95.88,29.64,-95.88,0,-1,0
HNTAG,AH2017,2017,8,26,2317,29.48,-95.78,29.48,-95.78,0,-1,0
HNTAH,AH2017,2017,8,26,2357,30.27,-95.61,30.27,-95.61,0,-1,0
HNTAI,AH2017,2017,8,27,420,29.64,-95.14,29.64,-95.14,0,-1,0
HNTAJ,AH2017,2017,8,27,625,29.73,-95.1,29.73,-95.1,0,-1,0
HNTAK,AH2017,2017,8,27,632,29.64,-94.95,29.64,-94.95,0,-1,0
HNTAL,AH2017,2017,8,27,658,29.19,-95.03,29.19,-95.03,0,-1,0
HNTAM,AH2017,2017,8,27,715,29.8,-94.84,29.8,-94.84,0,-1,0
HNTAN,AH2017,2017,8,27,758,28.87,-95.9,28.87,-95.9,0,-1,0
HNTAO,AH2017,2017,8,27,815,29.58,-95.8,29.58,-95.8,0,-1,0
HNTAP,AH2017,2017,8,27,819,29.7,-94.87,29.7,-94.87,0,-1,0
HNTAQ,AH2017,2017,8,27,840,29.96,-95.8,29.96,-95.8,0,-1,0
HNTAR,AH2017,2017,8,27,928,29.12,-95.72,29.12,-95.72,0,-1,0
HNTAS,AH2017,2017,8,27,1001,29.23,-95.14,29.23,-95.14,0,-1,0
HNTAT,AH2017,2017,8,27,1025,30.09,-94.83,30.09,-94.83,0,-1,0
HNTAU,AH2017,2017,8,27,1227,29.59,-95.71,29.59,-95.71,0,-1,0
HNTAV,AH2017,2017,8,27,1325,29.08,-95.53,29.08,-95.53,0,-1,0
HNTAW,AH2017,2017,8,27,1541,30.5,-95.19,30.5,-95.19,0,-1,0
HNTAX,AH2017,2017,8,27,1710,29.36,-95.12,29.36,-95.12,0,-1,0
HNTAY,AH2017,2017,8,27,1714,29.4,-95.86,29.4,-95.86,0,-1,0
HNTAZ,AH2017,2017,8,27,1737,30.06,-95.54,30.06,-95.54,0,-1,0
HNTBA,AH2017,2017,8,27,1805,29.41,-94.88,29.41,-94.88,0,-1,0
HNTBB,AH2017,2017,8,27,1853,29.58,-95.85,29.58,-95.85,0,-1,0
HNTBC,AH2017,2017,8,27,2121,29.65,-94.46,29.65,-94.46,0,-1,0
HNTBD,AH2017,2017,8,27,2250,29.79,-94.48,29.79,-94.48,0,-1,0
HNTBE,AH2017,2017,8,27,2319,29.71,-95.74,29.71,-95.74,0,-1,0
HNTBF,AH2017,2017,8,28,21,29.98,-94.57,29.98,-94.57,0,-1,0
HNTBG,AH2017,2017,8,28,203,29.64,-94.6,29.64,-94.6,0,-1,0
HNTBH,AH2017,2017,8,28,236,29.68,-95.44,29.68,-95.44,0,-1,0
HNTBI,AH2017,2017,8,28,251,29.63,-94.69,29.63,-94.69,0,-1,0
