id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTAA,AH2016,2016,9,2,50,29.91,-83.35,29.91,-83.35,0,-1,0
NTB,AH2016,2016,9,2,58,29.39,-83.11,29.39,-83.11,0,-1,0
NTC,AH2016,2016,9,2,107,29.86,-83.21,29.86,-83.21,0,-1,0
NTD,AH2016,2016,9,2,157,30.02,-83.14,30.02,-83.14,0,-1,0
NTE,AH2016,2016,9,2,234,29.6,-83.3,29.6,-83.3,0,-1,0
NTG,AH2016,2016,9,2,248,30.11,-83.84,30.11,-83.84,0,-1,0
NTH,AH2016,2016,9,2,312,29.65,-83.13,29.65,-83.13,0,-1,0
NTI,AH2016,2016,9,2,319,30.08,-84.15,30.08,-84.15,0,-1,0
NTJ,AH2016,2016,9,2,339,29.58,-83.38,29.58,-83.38,0,-1,0
NTK,AH2016,2016,9,2,409,30.9,-81.51,30.9,-81.51,0,-1,0
NTL,AH2016,2016,9,2,1509,30.05,-81.66,30.05,-81.66,0,-1,0
NTM,AH2016,2016,9,1,1813,28.36,-82.31,28.36,-82.31,0,-1,0
NTN,AH2016,2016,9,1,1918,28.35,-82.66,28.35,-82.66,0,-1,0
NTO,AH2016,2016,9,1,2126,28.22,-82.53,28.22,-82.53,0,-1,0
NTP,AH2016,2016,9,1,1939,28.95,-80.95,28.95,-80.95,0,-1,0
NTBB,AH2016,2016,9,3,129,34.78,-76.5,34.78,-76.5,0,-1,0
NTU,AH2016,2016,9,2,1936,33.86,-78.75,33.86,-78.75,0,-1,0
NTV,AH2016,2016,9,2,723,31.61,-81.5,31.61,-81.5,0,-1,0
NTW,AH2016,2016,9,2,730,31.87,-81.25,31.87,-81.25,0,-1,0
NTZ,AH2016,2016,9,2,1658,34.02,-80.34,34.02,-80.34,0,-1,0
201609020007,AH2016,2016,9,2,007,29.71,-83.47,29.71,-83.47,1,0,1
201609020036,AH2016,2016,9,2,036,29.91,-83.56,29.91,-83.56,1,0,1
201609020038,AH2016,2016,9,2,038,28.4542,-81.6281,28.4757,-81.624,1,0,1
201609020040,AH2016,2016,9,2,040,28.8611,-81.9128,28.9228,-81.9274,1,0,1
201609020239,AH2016,2016,9,2,239,29.87,-83.42,29.87,-83.42,1,0,1
201609020750,AH2016,2016,9,2,750,31.66,-81.38,31.73,-81.38,1,1,1
201609020912,AH2016,2016,9,2,912,31.93,-81.03,31.95,-81.03,1,1,2
201609030120,AH2016,2016,9,3,120,34.724,-76.573,34.726,-76.574,1,1,1
201609030123,AH2016,2016,9,3,123,34.725,-76.508,34.73,-76.507,1,1,1
201609030502,AH2016,2016,9,3,502,35.2135,-75.6957,35.2145,-75.6955,1,0,1
