id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTB,AI2019,2019,9,18,2348,29.68,-94.92,29.68,-94.92,0,-1,0
NTC,AI2019,2019,9,19,1139,29.81,-94.46,29.81,-94.46,0,-1,0
NTD,AI2019,2019,9,19,356,29.75,-94.37,29.75,-94.37,0,-1,0
NTE,AI2019,2019,9,19,622,29.94,-94.17,29.94,-94.17,0,-1,0
NTF,AI2019,2019,9,19,840,30.08,-93.94,30.08,-93.94,0,-1,0
NTG,AI2019,2019,9,19,1347,29.92,-93.59,29.92,-93.59,0,-1,0
NTH,AI2019,2019,9,19,1445,30.04,-93.62,30.04,-93.62,0,-1,0
NTI,AI2019,2019,9,19,1551,29.99,-93.5,29.99,-93.5,0,-1,0
201909182156,AI2019,2019,9,18,2156,29.8409,-95.0007,29.8358,-94.9505,1,1,2
201909191607,AI2019,2019,9,19,1607,29.9865,-93.3974,29.99,-93.3882,1,0,1
