id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTEEEE,AI2017,2017,9,11,217,33.54,-79.0,33.54,-79.0,0,-1,0
NTFFFF,AI2017,2017,9,12,927,33.9,-78.07,33.9,-78.07,0,-1,0
NTDDDD,AI2017,2017,9,11,1411,31.7,-81.14,31.7,-81.14,0,-1,0
NTGGGG,AI2017,2017,9,11,1600,32.45,-80.43,32.45,-80.43,0,-1,0
NTHHHH,AI2017,2017,9,11,1637,32.66,-79.83,32.66,-79.83,0,-1,0
NTIIII,AI2017,2017,9,11,1710,32.57,-80.05,32.57,-80.05,0,-1,0
NTJJJJ,AI2017,2017,9,11,1752,32.67,-80.06,32.67,-80.06,0,-1,0
NTKKKK,AI2017,2017,9,11,1845,32.36,-80.48,32.36,-80.48,0,-1,0
NTXXX,AI2017,2017,9,10,1619,29.73,-81.13,29.73,-81.13,0,-1,0
NTVVV,AI2017,2017,9,10,1728,29.6,-81.23,29.6,-81.23,0,-1,0
NTUUU,AI2017,2017,9,10,2335,29.41,-81.2,29.41,-81.2,0,-1,0
NTWWW,AI2017,2017,9,10,10,29.64,-81.15,29.64,-81.15,0,-1,0
NTYYY,AI2017,2017,9,10,2341,29.98,-81.2,29.98,-81.2,0,-1,0
NTBBBB,AI2017,2017,9,11,633,30.69,-81.6,30.69,-81.6,0,-1,0
NTZZZ,AI2017,2017,9,11,735,30.36,-81.38,30.36,-81.38,0,-1,0
NTAAAA,AI2017,2017,9,11,918,30.77,-81.45,30.77,-81.45,0,-1,0
NTHHH,AI2017,2017,9,10,1156,27.83,-81.74,27.83,-81.74,0,-1,0
NTGGG,AI2017,2017,9,10,1507,28.23,-81.94,28.23,-81.94,0,-1,0
NTOO,AI2017,2017,9,9,2324,27.49,-80.18,27.49,-80.18,0,-1,0
NTQQ,AI2017,2017,9,9,133,27.51,-80.23,27.51,-80.23,0,-1,0
NTPP,AI2017,2017,9,10,748,27.54,-80.5,27.54,-80.5,0,-1,0
NTRR,AI2017,2017,9,10,913,27.87,-80.44,27.87,-80.44,0,-1,0
NTSS,AI2017,2017,9,10,952,27.89,-80.54,27.89,-80.54,0,-1,0
NTAA,AI2017,2017,9,10,1521,27.33,-80.32,27.33,-80.32,0,-1,0
NTBB,AI2017,2017,9,10,1547,27.29,-80.21,27.29,-80.21,0,-1,0
NTCC,AI2017,2017,9,10,1555,27.73,-80.17,27.73,-80.17,0,-1,0
NTDD,AI2017,2017,9,10,1641,27.12,-80.3,27.12,-80.3,0,-1,0
NTEE,AI2017,2017,9,10,1726,27.64,-80.31,27.64,-80.31,0,-1,0
NTFF,AI2017,2017,9,10,1742,27.27,-80.32,27.27,-80.32,0,-1,0
NTQQQ,AI2017,2017,9,10,1836,28.44,-80.45,28.44,-80.45,0,-1,0
NTUU,AI2017,2017,9,10,1914,28.26,-80.62,28.26,-80.62,0,-1,0
NTGG,AI2017,2017,9,10,1838,27.37,-80.21,27.37,-80.21,0,-1,0
NTHH,AI2017,2017,9,10,1922,27.2,-80.37,27.2,-80.37,0,-1,0
NTII,AI2017,2017,9,10,2013,27.61,-80.45,27.61,-80.45,0,-1,0
NTJJ,AI2017,2017,9,10,2027,27.37,-80.24,27.37,-80.24,0,-1,0
NTKK,AI2017,2017,9,10,2036,27.67,-80.24,27.67,-80.24,0,-1,0
NTIII,AI2017,2017,9,10,2041,28.68,-80.94,28.68,-80.94,0,-1,0
NTLL,AI2017,2017,9,10,2058,27.71,-80.38,27.71,-80.38,0,-1,0
NTMM,AI2017,2017,9,10,2110,27.9,-80.04,27.9,-80.04,0,-1,0
NTNN,AI2017,2017,9,10,2131,27.48,-80.29,27.48,-80.29,0,-1,0
NTLLL,AI2017,2017,9,10,2144,29.15,-81.36,29.15,-81.36,0,-1,0
NTXX,AI2017,2017,9,10,2152,27.89,-80.42,27.89,-80.42,0,-1,0
NTMMM,AI2017,2017,9,10,2234,28.64,-81.22,28.64,-81.22,0,-1,0
NTPPP,AI2017,2017,9,10,2238,28.4,-81.28,28.4,-81.28,0,-1,0
NTNNN,AI2017,2017,9,10,2257,28.62,-80.52,28.62,-80.52,0,-1,0
NTOOO,AI2017,2017,9,10,2324,28.64,-81.72,28.64,-81.72,0,-1,0
NTYY,AI2017,2017,9,11,39,28.1,-80.61,28.1,-80.61,0,-1,0
NTRRR,AI2017,2017,9,11,51,28.78,-80.97,28.78,-80.97,0,-1,0
NTAAA,AI2017,2017,9,11,116,28.64,-80.54,28.64,-80.54,0,-1,0
NTTTT,AI2017,2017,9,11,133,29.09,-81.15,29.09,-81.15,0,-1,0
NTCCC,AI2017,2017,9,11,220,28.42,-80.64,28.42,-80.64,0,-1,0
NTDDD,AI2017,2017,9,11,234,28.82,-80.65,28.82,-80.65,0,-1,0
NTEEE,AI2017,2017,9,11,250,28.74,-80.72,28.74,-80.72,0,-1,0
NTD,AI2017,2017,9,9,1323,25.61,-80.6,25.61,-80.6,0,-1,0
NTE,AI2017,2017,9,9,1351,26.23,-81.13,26.23,-81.13,0,-1,0
NTG,AI2017,2017,9,9,2046,26.2,-80.42,26.2,-80.42,0,-1,0
NTH,AI2017,2017,9,9,2048,25.88,-81.41,25.88,-81.41,0,-1,0
NTI,AI2017,2017,9,9,2222,26.28,-80.35,26.28,-80.35,0,-1,0
NTK,AI2017,2017,9,9,2259,26.1,-80.07,26.1,-80.07,0,-1,0
NTL,AI2017,2017,9,9,2302,25.42,-80.41,25.42,-80.41,0,-1,0
NTV,AI2017,2017,9,9,2311,26.57,-80.1,26.57,-80.1,0,-1,0
NTP,AI2017,2017,9,9,2327,26.17,-80.35,26.17,-80.35,0,-1,0
NTM,AI2017,2017,9,9,2329,25.58,-80.51,25.58,-80.51,0,-1,0
NTQ,AI2017,2017,9,9,2351,25.96,-80.08,25.96,-80.08,0,-1,0
NTO,AI2017,2017,9,10,746,26.11,-80.09,26.11,-80.09,0,-1,0
NTX,AI2017,2017,9,10,1020,26.47,-79.88,26.47,-79.88,0,-1,0
NTY,AI2017,2017,9,10,1135,26.88,-80.03,26.88,-80.03,0,-1,0
NTT,AI2017,2017,9,10,1135,25.75,-80.0,25.75,-80.0,0,-1,0
NTZ,AI2017,2017,9,10,1342,26.76,-80.02,26.76,-80.02,0,-1,0
NTR,AI2017,2017,9,10,1749,25.91,-79.98,25.91,-79.98,0,-1,0
NTU,AI2017,2017,9,10,1824,26.24,-79.97,26.24,-79.97,0,-1,0
NTN,AI2017,2017,9,10,1915,25.61,-80.16,25.61,-80.16,0,-1,0
NTW,AI2017,2017,9,10,1948,26.45,-79.97,26.45,-79.97,0,-1,0
NTS,AI2017,2017,9,10,1953,26.01,-79.85,26.01,-79.85,0,-1,0
NTA,AI2017,2017,9,9,2133,24.78,-81.29,24.78,-81.29,0,-1,0
NTB,AI2017,2017,9,9,2154,24.82,-81.24,24.82,-81.24,0,-1,0
NTC,AI2017,2017,9,9,2306,24.82,-81.22,24.82,-81.22,0,-1,0
201709091620,AI2017,2017,9,9,1620,25.9,-81.33,25.9,-81.33,1,1,1
201709092235,AI2017,2017,9,9,2235,26.14,-80.1,26.16,-80.13,1,0,1
201709092301,AI2017,2017,9,9,2301,25.412,-80.377,25.413,-80.41,1,0,2
201709100013,AI2017,2017,9,10,013,25.99,-80.38,25.99,-80.38,1,1,2
201709100017,AI2017,2017,9,10,017,26.01,-80.41,26.02,-80.41,1,1,2
201709101259,AI2017,2017,9,10,1259,27.57,-81.81,27.57,-81.82,1,1,1
201709101319,AI2017,2017,9,10,1319,28.07,-80.56,28.07,-80.56,1,0,1
201709101500,AI2017,2017,9,10,1500,28.03,-80.58,28.03,-80.6,1,1,1
201709101519,AI2017,2017,9,10,1519,28.15,-81.88,28.16,-81.89,1,2,1
201709101524,AI2017,2017,9,10,1524,28.09,-80.57,28.1,-80.58,1,1,1
201709101740,AI2017,2017,9,10,1740,29.9,-81.31,29.9,-81.33,1,1,2
201709102148,AI2017,2017,9,10,2148,28.69,-80.84,28.69,-80.86,1,2,1
201709102200,AI2017,2017,9,10,2200,28.69,-80.86,28.69,-80.86,1,1,1
201709102228,AI2017,2017,9,10,2228,28.94,-81.62,28.94,-81.69,1,1,1
201709102350,AI2017,2017,9,10,2350,29.93,-81.3,29.95,-81.38,1,1,1
201709110013,AI2017,2017,9,11,013,29.65,-81.21,29.66,-81.28,1,0,1
201709110104,AI2017,2017,9,11,104,29.29,-81.06,29.29,-81.07,1,1,2
201709110104,AI2017,2017,9,11,104,28.23,-80.6,28.24,-80.62,1,1,1
201709110114,AI2017,2017,9,11,114,28.28,-80.69,28.28,-80.69,1,1,1
201709110148,AI2017,2017,9,11,148,28.42,-80.68,28.45,-80.72,1,1,1
201709110515,AI2017,2017,9,11,515,29.72,-81.23,29.72,-81.25,1,2,2
201709110625,AI2017,2017,9,11,625,30.69,-81.46,30.69,-81.64,1,0,1
201709110625,AI2017,2017,9,11,625,30.642,-81.467,30.61,-81.57,1,0,2
201709111848,AI2017,2017,9,11,1848,32.89,-80.04,32.91,-80.06,1,0,1
201709112145,AI2017,2017,9,11,2145,32.67,-80.01,32.68,-80.01,1,1,1
201709112219,AI2017,2017,9,11,2219,32.73,-79.91,32.73,-79.91,1,0,1
201709112301,AI2017,2017,9,11,2301,33.19,-81.19,33.22,-81.19,1,0,1
201709112313,AI2017,2017,9,11,2313,32.8,-79.84,32.8,-79.84,1,0,2
