id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTB,AI2020,2020,8,4,3,33.98,-78.63,33.98,-78.63,0,-1,0
NTE,AI2020,2020,8,4,131,35.65,-76.37,35.65,-76.37,0,-1,0
NTJ,AI2020,2020,8,4,529,35.64,-76.39,35.64,-76.39,0,-1,0
NTK,AI2020,2020,8,4,557,35.81,-76.34,35.81,-76.34,0,-1,0
NTL,AI2020,2020,8,3,1824,38.25,-77.91,38.25,-77.91,0,-1,0
NTM,AI2020,2020,8,3,1924,38.26,-77.09,38.26,-77.09,0,-1,0
NTN,AI2020,2020,8,4,800,38.09,-76.52,38.09,-76.52,0,-1,0
NTO,AI2020,2020,8,4,1018,38.46,-76.75,38.46,-76.75,0,-1,0
NTS,AI2020,2020,8,4,1326,39.48,-76.15,39.48,-76.15,0,-1,0
NTT,AI2020,2020,8,4,1331,39.37,-76.38,39.37,-76.38,0,-1,0
NTU,AI2020,2020,8,4,849,38.6,-75.11,38.6,-75.11,0,-1,0
NTV,AI2020,2020,8,4,1055,39.16,-75.78,39.16,-75.78,0,-1,0
NTW,AI2020,2020,8,4,1121,38.95,-76.21,38.95,-76.21,0,-1,0
NTX,AI2020,2020,8,4,1139,38.45,-75.49,38.45,-75.49,0,-1,0
NTCC,AI2020,2020,8,4,1316,39.2,-75.13,39.2,-75.13,0,-1,0
NTEE,AI2020,2020,8,4,1414,39.4,-74.35,39.4,-74.35,0,-1,0
NTHH,AI2020,2020,8,4,1308,41.75,-74.75,41.75,-74.75,0,-1,0
NTII,AI2020,2020,8,4,1402,41.39,-75.28,41.39,-75.28,0,-1,0
NTKK,AI2020,2020,8,4,1804,40.73,-72.42,40.73,-72.42,0,-1,0
NTLL,AI2020,2020,8,4,1737,42.38,-73.58,42.38,-73.58,0,-1,0
NTQQ,AI2020,2020,8,4,1834,42.77,-72.83,42.77,-72.83,0,-1,0
NTMM,AI2020,2020,8,4,1245,42.39,-73.01,42.39,-73.01,0,-1,0
NTNN,AI2020,2020,8,4,1330,42.67,-72.75,42.67,-72.75,0,-1,0
NTPP,AI2020,2020,8,4,1757,42.66,-71.89,42.66,-71.89,0,-1,0
NTRR,AI2020,2020,8,4,2058,42.48,-71.64,42.48,-71.64,0,-1,0
NTOO,AI2020,2020,8,4,1321,42.93,-72.52,42.93,-72.52,0,-1,0
NTSS,AI2020,2020,8,4,313,36.1,-76.21,36.1,-76.21,0,-1,0
NTTT,AI2020,2020,8,4,339,36.28,-76.27,36.28,-76.27,0,-1,0
NTUU,AI2020,2020,8,4,351,36.21,-75.95,36.21,-75.95,0,-1,0
NTVV,AI2020,2020,8,4,353,36.1,-76.3,36.1,-76.3,0,-1,0
NTWW,AI2020,2020,8,4,416,36.52,-76.28,36.52,-76.28,0,-1,0
NTYY,AI2020,2020,8,4,540,36.12,-77.09,36.12,-77.09,0,-1,0
NTAAA,AI2020,2020,8,4,556,36.08,-76.7,36.08,-76.7,0,-1,0
NTDDD,AI2020,2020,8,4,633,36.38,-76.65,36.38,-76.65,0,-1,0
NTEEE,AI2020,2020,8,4,705,36.02,-76.48,36.02,-76.48,0,-1,0
NTGGG,AI2020,2020,8,4,823,36.63,-76.02,36.63,-76.02,0,-1,0
NTHHH,AI2020,2020,8,4,834,37.42,-77.02,37.42,-77.02,0,-1,0
NTKKK,AI2020,2020,8,4,924,37.67,-76.95,37.67,-76.95,0,-1,0
NTNNN,AI2020,2020,8,4,1035,38.59,-75.9,38.59,-75.9,0,-1,0
NTRRR,AI2020,2020,8,4,1126,38.42,-75.75,38.42,-75.75,0,-1,0
202008032355,AI2020,2020,8,3,2355,33.8465,-77.9592,33.9425,-78.0509,1,2,1
202008040015,AI2020,2020,8,4,015,34.1162,-78.3191,34.1185,-78.323,1,1,1
202008040015,AI2020,2020,8,4,015,34.0403,-78.1409,34.0568,-78.1606,1,0,1
202008040043,AI2020,2020,8,4,043,34.2268,-78.0124,34.258,-78.0374,1,1,1
202008040159,AI2020,2020,8,4,159,34.2064,-77.981,34.219,-78.002,1,1,1
202008040323,AI2020,2020,8,4,323,35.0238,-76.8986,35.0553,-76.9134,1,1,1
202008040402,AI2020,2020,8,4,402,35.7786,-76.9073,35.7803,-76.9094,1,1,1
202008040418,AI2020,2020,8,4,418,35.461,-76.8952,35.4631,-76.8974,1,1,1
202008040448,AI2020,2020,8,4,448,35.6441,-76.8008,35.6452,-76.8013,1,1,1
202008040450,AI2020,2020,8,4,450,35.4262,-76.7291,35.4363,-76.7311,1,1,2
202008040515,AI2020,2020,8,4,515,35.887,-76.89,36.014,-76.977,1,3,1
202008040611,AI2020,2020,8,4,611,36.351,-77.093,36.406,-77.157,1,0,1
202008040637,AI2020,2020,8,4,637,36.524,-76.958,36.544,-76.982,1,0,1
202008040649,AI2020,2020,8,4,649,36.645,-76.99,36.858,-77.099,1,2,1
202008040654,AI2020,2020,8,4,654,36.551,-76.498,36.83,-76.633,1,1,1
