id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTA,AM2016,2016,10,7,1436,30.82,-81.37,30.82,-81.37,0,-1,0
NTB,AM2016,2016,10,7,1707,32.01,-81.23,32.01,-81.23,0,-1,0
NTC,AM2016,2016,10,7,1829,32.27,-81.06,32.27,-81.06,0,-1,0
NTD,AM2016,2016,10,7,1940,32.28,-80.47,32.28,-80.47,0,-1,0
NTE,AM2016,2016,10,8,226,33.51,-79.21,33.51,-79.21,0,-1,0
NTF,AM2016,2016,10,8,429,33.5,-79.21,33.5,-79.21,0,-1,0
NTG,AM2016,2016,10,8,521,33.73,-78.99,33.73,-78.99,0,-1,0
NTH,AM2016,2016,10,8,604,33.73,-79.02,33.73,-79.02,0,-1,0
NTI,AM2016,2016,10,8,733,33.81,-78.82,33.81,-78.82,0,-1,0
NTJ,AM2016,2016,10,8,1012,34.14,-78.11,34.14,-78.11,0,-1,0
NTK,AM2016,2016,10,8,1041,34.16,-77.89,34.16,-77.89,0,-1,0
NTL,AM2016,2016,10,8,1208,34.48,-78.03,34.48,-78.03,0,-1,0
NTM,AM2016,2016,10,8,1236,34.04,-78.07,34.04,-78.07,0,-1,0
NTN,AM2016,2016,10,8,1517,34.53,-77.39,34.53,-77.39,0,-1,0
NTO,AM2016,2016,10,8,1543,34.53,-76.64,34.53,-76.64,0,-1,0
NTP,AM2016,2016,10,8,1750,34.85,-77.7,34.85,-77.7,0,-1,0
NTQ,AM2016,2016,10,8,1824,34.66,-76.44,34.66,-76.44,0,-1,0
201610081046,AM2016,2016,10,8,1046,33.8243,-78.651,33.8402,-78.6694,1,0,2
201610081850,AM2016,2016,10,8,1850,35.323,-77.8625,35.329,-77.8773,1,0,2
