id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTN,AM2018,2018,10,11,636,34.3,-81.52,34.3,-81.52,0,-1,0
NTK,AM2018,2018,10,11,249,31.99,-80.92,31.99,-80.92,0,-1,0
NTL,AM2018,2018,10,11,314,32.17,-80.77,32.17,-80.77,0,-1,0
NTI,AM2018,2018,10,10,2001,32.68,-84.08,32.68,-84.08,0,-1,0
NTJ,AM2018,2018,10,10,2237,32.72,-84.44,32.72,-84.44,0,-1,0
NTP,AM2018,2018,10,11,1218,34.42,-77.95,34.42,-77.95,0,-1,0
NTB,AM2018,2018,10,9,1349,30.0,-81.33,30.0,-81.33,0,-1,0
NTE,AM2018,2018,10,10,2009,29.55,-82.17,29.55,-82.17,0,-1,0
NTG,AM2018,2018,10,10,2010,30.83,-82.11,30.83,-82.11,0,-1,0
NTF,AM2018,2018,10,10,2037,30.72,-81.93,30.72,-81.93,0,-1,0
NTC,AM2018,2018,10,10,1444,29.01,-83.09,29.01,-83.09,0,-1,0
NTA,AM2018,2018,10,10,1856,27.38,-82.54,27.38,-82.54,0,-1,0
NTQ,AM2018,2018,10,11,1942,36.49,-79.45,36.49,-79.45,0,-1,0
NTR,AM2018,2018,10,11,1926,36.59,-76.62,36.59,-76.62,0,-1,0
NTT,AM2018,2018,10,11,2021,37.0,-78.34,37.0,-78.34,0,-1,0
NTU,AM2018,2018,10,11,2132,37.15,-77.53,37.15,-77.53,0,-1,0
NTV,AM2018,2018,10,11,2144,36.61,-76.71,36.61,-76.71,0,-1,0
NTW,AM2018,2018,10,11,2317,37.52,-77.09,37.52,-77.09,0,-1,0
201810101840,AM2018,2018,10,10,1840,29.8036,-82.0906,30.0416,-82.0492,1,0,2
201810101932,AM2018,2018,10,10,1932,32.4955,-83.8795,32.5195,-83.8916,1,0,1
201810101958,AM2018,2018,10,10,1958,32.6525,-84.0267,32.6937,-84.0974,1,1,1
201810102233,AM2018,2018,10,10,2233,33.7179,-84.4126,33.7236,-84.4312,1,0,2
201810110317,AM2018,2018,10,11,317,33.2505,-80.8285,33.2685,-80.8311,1,0,2
201810110328,AM2018,2018,10,11,328,33.3314,-80.8457,33.4222,-80.8555,1,0,1
201810110348,AM2018,2018,10,11,348,33.5016,-80.8805,33.6021,-80.9386,1,0,1
201810110822,AM2018,2018,10,11,822,33.8058,-80.6386,33.88,-80.6932,1,0,1
201810112110,AM2018,2018,10,11,2110,37.1853,-78.1795,37.1942,-78.2014,1,1,2
201810112127,AM2018,2018,10,11,2127,37.2382,-77.8593,37.2553,-77.8794,1,0,1
201810112302,AM2018,2018,10,11,2302,37.3822,-76.9038,37.409,-76.9069,1,0,2
201810112322,AM2018,2018,10,11,2322,37.2574,-76.4343,37.2697,-76.442,1,0,1
201810112323,AM2018,2018,10,11,2323,37.3529,-76.7703,37.3806,-76.7854,1,1,1
201810112347,AM2018,2018,10,11,2347,37.5235,-76.6093,37.5639,-76.6129,1,0,1
201810120013,AM2018,2018,10,12,013,37.7224,-76.7115,37.7259,-76.7134,1,0,1
