id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,F-EF-Rating,class
NTB,AN2017,2017,10,7,2010,30.43,-88.59,30.43,-88.59,0,-1,0
NTE,AN2017,2017,10,7,2326,30.92,-88.02,30.92,-88.02,0,-1,0
NTF,AN2017,2017,10,7,2343,30.18,-87.75,30.18,-87.75,0,-1,0
NTG,AN2017,2017,10,8,0027,30.96,-87.9,30.96,-87.9,0,-1,0
NTH,AN2017,2017,10,8,0028,30.37,-87.67,30.37,-87.67,0,-1,0
NTI,AN2017,2017,10,8,0211,30.53,-87.43,30.53,-87.43,0,-1,0
NTJ,AN2017,2017,10,8,0227,30.28,-87.59,30.28,-87.59,0,-1,0
NTK,AN2017,2017,10,8,0558,30.44,-86.57,30.44,-86.57,0,-1,0
NTL,AN2017,2017,10,7,2123,30.13,-85.79,30.13,-85.79,0,-1,0
NTM,AN2017,2017,10,8,0443,30.01,-83.95,30.01,-83.95,0,-1,0
NTS,AN2017,2017,10,8,2003,33.91,-82.46,33.91,-82.46,0,-1,0
NTN,AN2017,2017,10,8,1825,35.44,-82.0,35.44,-82.0,0,-1,0
201710071858,AN2017,2017,10,7,1858,30.25,-87.69,30.25,-87.69,1,0,1
201710072147,AN2017,2017,10,7,2147,30.68,-88.21,30.69,-88.22,1,0,2
201710072326,AN2017,2017,10,7,2326,31.95,-86.51,31.95,-86.51,1,0,2
201710072334,AN2017,2017,10,7,2334,30.29,-87.57,30.29,-87.58,1,0,1
201710072355,AN2017,2017,10,7,2355,32.14,-86.59,32.18,-86.62,1,0,2
201710080031,AN2017,2017,10,8,031,32.4,-86.65,32.45,-86.69,1,1,1
201710080120,AN2017,2017,10,8,120,32.74,-86.77,32.77,-86.81,1,0,1
201710080147,AN2017,2017,10,8,147,32.9,-86.83,32.98,-86.85,1,1,1
201710080228,AN2017,2017,10,8,228,31.65,-88.61,31.65,-88.62,1,0,2
201710082008,AN2017,2017,10,8,2008,34.29,-82.04,34.46,-81.99,1,1,1
201710082016,AN2017,2017,10,8,2016,35.16,-81.71,35.16,-81.71,1,1,2
201710082020,AN2017,2017,10,8,2020,34.21,-81.92,34.25,-81.91,1,1,1
201710082036,AN2017,2017,10,8,2036,34.76,-82.76,34.88,-82.73,1,2,1
201710082040,AN2017,2017,10,8,2040,34.51,-81.97,34.82,-81.84,1,2,1
201710082054,AN2017,2017,10,8,2054,35.4,-81.62,35.59,-81.56,1,0,1
201710082134,AN2017,2017,10,8,2134,34.72,-81.75,34.73,-81.75,1,0,1
201710082134,AN2017,2017,10,8,2134,35.68,-81.53,35.75,-81.52,1,1,1
201710082137,AN2017,2017,10,8,2137,35.17,-82.24,35.22,-82.24,1,1,2
201710082151,AN2017,2017,10,8,2151,35.79,-81.5,35.83,-81.49,1,0,1
201710082201,AN2017,2017,10,8,2201,35.86,-81.49,35.95,-81.46,1,1,1
201710082245,AN2017,2017,10,8,2245,36.2,-81.44,36.3,-81.45,1,1,1
