id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_lon,istor,cwa,warwning,hasTDS,F-EF-Rating
HNTA,AH2017.HGX,2017,8,25,1535,28.74,-95.667,28.74,-95.667,0,HGX,49,-1,-1
HNTB,AH2017.HGX,2017,8,25,1620,28.79,-95.618,28.79,-95.618,0,HGX,50,-1,-1
HNTC,AH2017.HGX,2017,8,25,1849,29.262,-94.739,29.262,-94.739,0,HGX,51,-1,-1
HNTD,AH2017.HGX,2017,8,25,1906,28.857,-95.659,28.857,-95.659,0,HGX,52,-1,-1
HNTF,AH2017.HGX,2017,8,25,1942,29.256,-94.928,29.256,-94.928,0,HGX,54,-1,-1
HNTG,AH2017.HGX,2017,8,25,2005,29.002,-95.391,29.002,-95.391,0,HGX,56,-1,-1
U1,AH2017.HGX,2017,8,25,2039,29.028,-95.578,29.028,-95.578,0,HGX,57,-1,-1
U2,AH2017.HGX,2017,8,25,2034,28.738,-95.94,28.738,-95.94,0,HGX,58,-1,-1
U3,AH2017.HGX,2017,8,25,2045,29.292,-94.816,29.292,-94.816,0,HGX,59,-1,-1
HNTL,AH2017.HGX,2017,8,25,2222,29.046,-95.786,29.046,-95.786,0,HGX,62,-1,-1
HNTM,AH2017.HGX,2017,8,25,2228,29.087,-95.744,29.087,-95.744,0,HGX,63,-1,-1
HNTN,AH2017.HGX,2017,8,25,2257,29.185,-95.925,29.185,-95.925,0,HGX,64,-1,-1
HNTP,AH2017.HGX,2017,8,25,2336,29.108,-95.381,29.108,-95.381,0,HGX,68,-1,-1
HNTQ,AH2017.HGX,2017,8,25,2348,29.248,-95.046,29.248,-95.046,0,HGX,69,-1,-1
HNTR,AH2017.HGX,2017,8,26,5,29.144,-95.209,29.144,-95.209,0,HGX,70,-1,-1
HNTS,AH2017.HGX,2017,8,26,51,29.072,-95.016,29.072,-95.016,0,HGX,72,-1,-1
HNTT,AH2017.HGX,2017,8,26,125,29.055,-95.224,29.055,-95.224,0,HGX,73,-1,-1
HNTU,AH2017.HGX,2017,8,26,142,29.058,-95.175,29.058,-95.175,0,HGX,74,-1,-1
HNTV,AH2017.HGX,2017,8,26,207,29.168,-95.368,29.168,-95.368,0,HGX,75,-1,-1
NL1,AH2017.HGX,2017,8,26,249,29.176,-95.047,29.176,-95.047,0,HGX,79,-1,-1
HNTW,AH2017.HGX,2017,8,26,239,29.358,-95.638,29.358,-95.638,0,HGX,78,-1,-1
HNTX,AH2017.HGX,2017,8,26,603,29.577,-94.365,29.577,-94.365,0,HGX,88,-1,-1
HNTY,AH2017.HGX,2017,8,26,751,29.064,-95.695,29.064,-95.695,0,HGX,94,-1,-1
HNTZ,AH2017.HGX,2017,8,26,839,29.483,-95.914,29.483,-95.914,0,HGX,96,-1,-1
HNTAA,AH2017.HGX,2017,8,26,921,29.624,-94.631,29.624,-94.631,0,HGX,98,-1,-1
HNTAB,AH2017.HGX,2017,8,26,1046,30.101,-94.847,30.101,-94.847,0,HGX,102,-1,-1
HNTAC,AH2017.HGX,2017,8,26,1102,30.061,-94.604,30.061,-94.604,0,HGX,103,-1,-1
HNTAD,AH2017.HGX,2017,8,26,1347,30.436,-95.375,30.436,-95.375,0,HGX,105,-1,-1
HNTAE,AH2017.HGX,2017,8,26,1451,30.36,-95.094,30.36,-95.094,0,HGX,106,-1,-1
HNTAF,AH2017.HGX,2017,8,26,1754,29.662,-95.887,29.662,-95.887,0,HGX,108,-1,-1
HNTAG,AH2017.HGX,2017,8,26,2310,29.406,-95.77,29.406,-95.77,0,HGX,113,-1,-1
HNTAH,AH2017.HGX,2017,8,27,2,30.293,-95.667,30.293,-95.667,0,HGX,115,-1,-1
HNTAI,AH2017.HGX,2017,8,27,422,29.64,-95.162,29.64,-95.162,0,HGX,121,-1,-1
HNTAJ,AH2017.HGX,2017,8,27,621,29.708,-95.081,29.708,-95.081,0,HGX,127,-1,-1
HNTAK,AH2017.HGX,2017,8,27,632,29.643,-94.951,29.643,-94.951,0,HGX,128,-1,-1
HNTAL,AH2017.HGX,2017,8,27,653,29.182,-95.03,29.182,-95.03,0,HGX,130,-1,-1
HNTAM,AH2017.HGX,2017,8,27,715,29.803,-94.837,29.803,-94.837,0,HGX,134,-1,-1
HNTAN,AH2017.HGX,2017,8,27,752,28.822,-95.967,28.822,-95.967,0,HGX,138,-1,-1
HNTAO,AH2017.HGX,2017,8,27,809,29.522,-95.812,29.522,-95.812,0,HGX,140,-1,-1
HNTAP,AH2017.HGX,2017,8,27,814,29.666,-94.869,29.666,-94.869,0,HGX,142,-1,-1
HNTAQ,AH2017.HGX,2017,8,27,836,29.955,-95.798,29.955,-95.798,0,HGX,145,-1,-1
HNTAR,AH2017.HGX,2017,8,27,924,29.075,-95.73,29.075,-95.73,0,HGX,148,-1,-1
HNTAS,AH2017.HGX,2017,8,27,957,29.201,-95.144,29.201,-95.144,0,HGX,150,-1,-1
HNTAT,AH2017.HGX,2017,8,27,1029,30.101,-94.844,30.101,-94.844,0,HGX,152,-1,-1
HNTAU,AH2017.HGX,2017,8,27,1225,29.58,-95.718,29.58,-95.718,0,HGX,153,-1,-1
