id,storm,year,month,day,time,start_lat,start_lon,stop_lat,stop_on,istor,cwa,warning,hasTDS,F-EF-Rating
615664,AH2017.HGX,2017,8,25,1924,29.331,-94.826,29.331,-94.826,1,HGX,-2,0,0
615665,AH2017.HGX,2017,8,25,2028,28.989,-95.475,28.989,-95.475,1,HGX,-2,0,0
615667,AH2017.HGX,2017,8,25,2111,28.4239,-96.6671,28.4239,-96.6671,1,CRP,-1,0,0
615670,AH2017.HGX,2017,8,26,530,29.313,-95.328,29.313,-95.328,1,HGX,-2,0,0
615674,AH2017.HGX,2017,8,26,716,29.31,-96.2,29.31,-96.2,1,HGX,-1,0,0
615675,AH2017.HGX,2017,8,26,710,29.68,-95.76,29.68,-95.76,1,HGX,-2,0,0
615676,AH2017.HGX,2017,8,26,930,29.93,-95.14,29.93,-95.14,1,HGX,-1,0,0
615677,AH2017.HGX,2017,8,26,957,29.75,-95.84,29.75,-95.84,1,HGX,-2,0,1
615680,AH2017.HGX,2017,8,26,1722,29.9692,-93.3495,29.9692,-93.3495,1,LCH,-1,0,0
615683,AH2017.HGX,2017,8,26,2117,29.94,-95.65,29.94,-95.65,1,HGX,-2,0,0
615684,AH2017.HGX,2017,8,26,2232,29.57,-96.11,29.57,-96.11,1,HGX,-1,0,0
615687,AH2017.HGX,2017,8,27,503,29.54,-95.13,29.54,-95.13,1,HGX,-2,0,0
615688,AH2017.HGX,2017,8,27,642,29.52,-96.07,29.52,-96.07,1,HGX,-2,0,1
615689,AH2017.HGX,2017,8,27,905,29.51,-95.01,29.51,-95.01,1,HGX,-2,0,0
615690,AH2017.HGX,2017,8,27,1515,29.7,-95.4,29.7,-95.4,1,HGX,-2,0,0
615691,AH2017.HGX,2017,8,27,1834,29.9893,-92.0415,29.9893,-92.0415,1,LCH,-2,0,0
615692,AH2017.HGX,2017,8,27,1939,29.9708,-91.7559,29.9708,-91.7559,1,LCH,-2,0,0
615693,AH2017.HGX,2017,8,28,939,29.7638,-93.71,29.7638,-93.71,1,LCH,-1,0,0
615696,AH2017.HGX,2017,8,29,2234,30.16,-92.18,30.16,-92.18,1,LCH,-1,0,0
615697,AH2017.HGX,2017,8,30,546,30.3962,-88.9121,30.3962,-88.9121,1,MOB,-1,0,0
615698,AH2017.HGX,2017,8,30,717,30.3431,-88.5479,30.3431,-88.5479,1,MOB,-1,0,0
615700,AH2017.HGX,2017,8,30,1507,30.7239,-89.3618,30.7239,-89.3618,1,LIX,-2,0,1
615702,AH2017.HGX,2017,8,30,1641,31.3462,-89.2692,31.3462,-89.2692,1,DGX,-2,0,1
615703,AH2017.HGX,2017,8,30,1730,31.5687,-89.7513,31.5687,-89.7513,1,DGX,-2,0,0
615705,AH2017.HGX,2017,8,31,1657,34.9455,-89.3006,34.9455,-89.3006,1,NQA,-2,0,0
615706,AH2017.HGX,2017,8,31,1813,34.3144,-88.7272,34.3144,-88.7272,1,GWX,-2,0,0
615708,AH2017.HGX,2017,8,31,1841,34.5998,-88.5679,34.5998,-88.5679,1,GWX,-2,0,0
615709,AH2017.HGX,2017,8,31,1957,35.2294,-88.3411,35.2294,-88.3411,1,NQA,-2,0,0
615711,AH2017.HGX,2017,8,31,2123,35.5402,-87.7327,35.5402,-87.7327,1,OHX,-1,0,0
615712,AH2017.HGX,2017,8,31,2141,35.2669,-88.0316,35.2669,-88.0316,1,GWX,-1,0,0
615713,AH2017.HGX,2017,8,31,2211,35.5178,-87.2251,35.5178,-87.2251,1,OHX,-2,0,0
615719,AH2017.HGX,2017,9,1,447,36.1597,-86.7079,36.1597,-86.7079,1,OHX,-1,0,0
