TC,case,istor,istds,DT,0.5,0.9,1.3/1.45,1.8,2.4,ET
AH2017.HGX,HNTA,0,0,8/25/2017 1535Z,29.63,NA,18.93,NA,NA,39455.19753
AH2017.HGX,HNTB,0,0,8/25/2017 1620Z,28.68,NA,19.9,NA,NA,37487.2
AH2017.HGX,HNTC,0,0,8/25/2017 1849Z,5.97,NA,7.75,NA,NA,30705
AH2017.HGX,HNTD,0,0,8/25/2017 1906Z,27.215,NA,18.445,NA,13.6,52827.21918
AH2017.HGX,HNTF,0,0,8/25/2017 1942Z,14.05,NA,9.23,NA,17.5,21410.72727
AH2017.HGX,HNTG,0,0,8/25/2017 2005Z,13.605,NA,11.68,NA,15.05,25967.875
AH2017.HGX,U1,0,0,8/25/2017 2039Z,25.75,NA,19.92,NA,15.22,29816.48148
AH2017.HGX,U2,0,0,8/25/2017 2034Z,22.35,NA,18.45,NA,15.55,33973.10345
AH2017.HGX,U3,0,0,8/25/2017 2045Z,30.1,NA,28.2,NA,32.05,27056.29268
AH2017.HGX,HNTL,0,0,8/25/2017 2222Z,43.7,NA,33.5,NA,NA,48064
AH2017.HGX,HNTM,0,0,8/25/2017 2228Z,31.55,NA,26.75,NA,NA,33657.93103
AH2017.HGX,HNTN,0,0,8/25/2017 2257Z,31.6,NA,23.8,NA,NA,35220.35
AH2017.HGX,HNTP,0,0,8/25/2017 2336Z,19.445,NA,NA,NA,NA,30109
AH2017.HGX,HNTQ,0,0,8/25/2017 2348Z,16.5,NA,NA,NA,NA,43708.9
AH2017.HGX,HNTR,0,0,8/26/2017 0005Z,39.85,NA,48.1,NA,43.85,53472.63291
AH2017.HGX,HNTS,0,0,8/26/2017 0051Z,24.3,NA,26.25,NA,24.75,28098.83333
AH2017.HGX,HNTT,0,0,8/26/2017 0125Z,37.9,NA,42.25,NA,21.85,32439.65517
AH2017.HGX,HNTU,0,0,8/26/2017 0142Z,34,NA,23.8,NA,21.355,30051.69811
AH2017.HGX,HNTV,0,0,8/26/2017 0207Z,20.38,20.4,NA,NA,NA,12924.375
AH2017.HGX,NL1,0,0,8/26/2017 0249Z,24.8,18.5,31.55,NA,34.95,36607.98734
AH2017.HGX,HNTW,0,0,8/26/2017 0239Z,24.3,24.3,NA,NA,NA,19042
AH2017.HGX,HNTX,0,0,8/26/2017 0603z,18.45,15.53,20.85,16.5,N/A,23552.5
AH2017.HGX,HNTY,0,0,8/26/2017 0751Z,28.65,31.1,31.6,28.65,21.35,38157.37037
AH2017.HGX,HNTZ,0,0,8/26/2017 0839Z,28.165,26.205,23.8,21.88,N/A,38757
AH2017.HGX,HNTAA,0,0,8/26/2017 0921Z,11.15,12.62,17.955,17.95,12.155,18670.72043
AH2017.HGX,HNTAB,0,0,8/26/2017 1046Z,33,30.6,26.2,21.4,N/A,27973.73973
AH2017.HGX,HNTAC,0,0,8/26/2017 1102Z,26.75,27.7,21.4,11.65,N/A,27515.59259
AH2017.HGX,HNTAD,0,0,8/26/2017 1347Z,24.755,17.02,N/A,N/A,N/A,26144.61765
AH2017.HGX,HNTAE,0,0,8/26/2017 1451z,17.5,18.95,15.545,N/A,N/A,32342
AH2017.HGX,HNTAF,0,0,8/26/2017 1754z,18.5,19.45,15.065,10.205,N/A,24276.63158
AH2017.HGX,HNTAG,0,0,8/26/2017 2310z,17.95,19.95,19.45,17.5,23.3,51232
AH2017.HGX,HNTAH,0,0,8/27/2017 0002Z,14.6,12.615,N/A,N/A,N/A,28692.24324
AH2017.HGX,HNTAI,0,0,8/27/2017 0422Z,21.385,18.465,18.955,18.45,16.5,31484.38889
AH2017.HGX,HNTAJ,0,0,8/27/2017 0621Z,17.465,18.465,17.985,20.9,18.45,30269.81081
AH2017.HGX,HNTAK,0,0,8/27/2017 0632z,17.005,23.8,22.85,22.85,19.92,48094.66667
AH2017.HGX,HNTAL,0,0,8/27/2017 0653Z,24.25,27.2,31.1,28.15,28.65,52964.74286
AH2017.HGX,HNTAM,0,0,8/27/2017 0715Z,31.1,31.105,31.6,34,31.05,44981.85714
AH2017.HGX,HNTAN,0,0,8/27/2017 0752Z,22.85,24.75,N/A,N/A,N/A,47799.86667
AH2017.HGX,HNTAO,0,0,8/27/2017 0809Z,15.065,19.935,19.92,16.55,N/A,32575.70968
AH2017.HGX,HNTAP,0,0,8/27/2017 0814Z,14.58,15.08,17.005,12.615,13.595,50014.45833
AH2017.HGX,HNTAQ,0,0,8/27/2017 0836Z,15.1,13.1,6.805,N/A,N/A,24616.32075
AH2017.HGX,HNTAR,0,0,8/27/2017 0924Z,15.065,15.065,8.75,11.68,N/A,23083
AH2017.HGX,HNTAS,0,0,8/27/2017 0957Z,18,17.5,12.105,9.245,8.25,33172.78571
AH2017.HGX,HNTAT,0,0,8/27/2017 1029Z,25.245,20.895,16.005,10.215,N/A,27893
AH2017.HGX,HNTAU,0,0,8/27/2017 1225Z,17.02,18.935,20.385,17.48,14.07,31310.17391
AH2017.HGX,HNTAV,0,0,8/27/2017 1324Z,19.905,19.905,18.92,15.565,12.65,20347.36842
AH2017.HGX,HNTAW,0,0,8/27/2017 1531Z,19.45,18.45,N/A,N/A,N/A,24027
AH2017.HGX,HNTAX,0,0,8/27/2017 1706Z,15.1,9.205,10.665,12.15,8.73,28581.38961
AH2017.HGX,HNTAY,0,0,8/27/2017 1717Z,16.52,15.055,11.635,N/A,N/A,24906.83146
AH2017.HGX,HNTAZ,0,0,8/27/2017 1738Z,18.45,15.55,10.665,N/A,N/A,19320.66667
AH2017.HGX,HNTBA,0,0,8/27/2017 1803Z,23.35,23.35,22.85,15.55,13.15,40067
AH2017.HGX,HNTBB,0,0,8/27/2017 1857Z,17.95,17.465,17.005,10.7,N/A,28450.91549
AH2017.HGX,HNTBC,0,0,8/27/2017 2122Z,26.25,29.6,27.7,26.25,20.905,30640.90323
AH2017.HGX,HNTBD,0,0,8/27/2017 2255Z,28.7,25.25,16.5,19.4,N/A,26836
AH2017.HGX,HNTBE,0,0,8/27/2017 2315Z,17,16.035,11.68,10.215,N/A,22669.75676
AH2017.HGX,HNTBF,0,0,8/28/2017 0023Z,19.935,17.02,18.455,22.85,N/A,30057
AH2017.HGX,HNTBG,0,0,8/28/2017 0208Z,16.045,15.555,15.045,19.45,22.35,20016
AH2017.HGX,HNTBH,0,0,8/28/2017 0235Z,21.4,21.35,17.5,17,9.245,27412.12
AH2017.HGX,HNTBI,0,0,8/28/2017 0251Z,26.7,25.75,24.75,19.435,15.53,30310.09877
AH2017.HGX,HNTBJ,0,0,8/28/2017 0333Z,21.9,30.6,25.3,21.85,14.595,20005.65217
AH2017.HGX,HNTBK,0,0,8/28/2017 0407Z,19.915,21.85,18.95,18.45,16.5,47664
AH2017.HGX,HNTBL,0,0,8/28/2017 0439Z,24.8,23.35,25.25,23.8,21.4,35542.08081
AH2017.HGX,HNTBM,0,0,8/28/2017 0501Z,23.3,25.75,27.2,21.85,15.55,30740.84615
AH2017.HGX,HNTBN,0,0,8/28/2017 0633Z,25.75,22.35,19.9,14.595,N/A,26452
AH2017.HGX,615664,1,0,8/25/2017 1924Z,35.45,NA,32.05,NA,34.5,25500
AH2017.HGX,615665,1,0,8/25/2017 2028Z,19.45,NA,21.37,NA,18.95,32836.84211
AH2017.HGX,615667,1,0,8/25/2017 2111Z,23.33,36.945,NA,NA,NA,34400
AH2017.HGX,615670,1,0,8/26/2017 0530Z,42.75,28,23.105,NA,NA,33500
AH2017.HGX,615674,1,0,8/26/2017 0716Z,41.75,27.685,NA,NA,NA,31600
AH2017.HGX,615675,1,0,8/26/2017 0710Z,37.4,32.05,27.7,NA,NA,30400
AH2017.HGX,615676,1,0,8/26/2017 0930Z,32.5,27.2,NA,NA,NA,10733.33333
AH2017.HGX,615677,1,0,8/26/2017 0957Z,35.45,29.65,28.15,NA,NA,37000
AH2017.HGX,615680,1,0,8/26/2017 1722Z,21.85,15.52,22.32,20.895,31.6,21700
AH2017.HGX,615683,1,0,8/26/2017 2117Z,26.75,25.75,20.9,NA,NA,25100
AH2017.HGX,615684,1,0,8/26/2017 2232Z,14.585,11.65,NA,NA,NA,27166.66667
AH2017.HGX,615687,1,0,8/27/2017 0503Z,24.295,25.745,22.83,24.75,25.73,35563.63636
AH2017.HGX,615688,1,0,8/27/2017 0642Z,18.45,14.55,NA,NA,NA,32650
AH2017.HGX,615689,1,0,8/27/2017 0905Z,34.95,35.5,32.55,29.65,25.75,37390.90909
AH2017.HGX,615690,1,0,8/27/2017 1515Z,19.9,21.35,16.505,NA,NA,26000
AH2017.HGX,615691,1,0,8/27/2017 1834Z,17.47,17.47,16.55,NA,NA,31600
AH2017.HGX,615692,1,0,8/27/2017 1939Z,8.245,NA,NA,NA,NA,50088.23529
AH2017.HGX,615693,1,0,8/28/2017 0939Z,27.7,28.65,25.3,NA,NA,21771.42857
AH2017.HGX,615696,1,0,8/29/2017 2234Z,16.05,11.655,NA,NA,NA,14065.30612
AH2017.HGX,615697,1,0,8/30/2017 0546Z/0600Z,17,14.1,17,NA,NA,27744.44444
AH2017.HGX,615698,1,0,8/30/2017 0717Z/0720Z,31.6,22.35,20.9,NA,NA,19978.94737
AH2017.HGX,615700,1,0,8/30/2017 1507Z,24.8,29.6,26.2,24.3,NA,16937.5
AH2017.HGX,615702,1,0,8/30/2017 1641Z,17,13.6,NA,NA,NA,21315.78947
AH2017.HGX,615703,1,0,8/30/2017 1730Z/1735Z,24.3,20.85,19.4,NA,NA,10323.07692
AH2017.HGX,615705,1,0,8/31/2017 1657Z/1705Z,18.45,20.4,19.4,NA,NA,23002.77778
AH2017.HGX,615706,1,0,8/31/2017 1813Z,30.6,29.65,24.75,NA,NA,21911.11111
AH2017.HGX,615708,1,0,8/31/2017 1843Z/1841Z,20.85,19.95,20.4,NA,NA,23715
AH2017.HGX,615709,1,0,8/31/2017 2007Z/1957Z,11.15,NA,NA,NA,NA,22514.28571
AH2017.HGX,615711,1,0,8/31/2017 2119Z/2123Z,44.7,35.95,NA,NA,NA,25852
AH2017.HGX,615712,1,0,8/31/2017 2203Z/2141Z,31.6,31.55,NA,NA,NA,32811.11111
AH2017.HGX,615713,1,0,8/31/2017 2211Z,31.1,30.6,34,32.55,NA,30957.37705
AH2017.HGX,615719,1,0,9/1/2017 0447Z,26.25,29.15,31.6,23.3,23.3,13057.14286
AH2017.HGX,615666,1,1,8/25/2017 2114Z,24.785,NA,NA,NA,NA,30352.94118
AH2017.HGX,615668,1,1,8/25/2017 2319Z,35.95,NA,23.785,NA,NA,36000
